disease_name_ab,study,f1,auc,cms,AUC ROC,Average Precision,F1 value,aupr value,acc value,mcc value
IBD_feces_to_biopsy,PRJNA232056,0.4137931034482758,0.6000000000000001,"[[ 0 20]
 [ 0 48]]",0.5615,0.7497,0.4087,0.747,0.6912,
IBD_feces_to_biopsy,RISK_PRISM_b,0.4118107911024329,0.7029096477794793,"[[  2 305]
 [  0 653]]",0.6197,0.7699,0.428,0.7717,0.6854,0.0955
CD_biopsy,PRJNA398089,0.6363636363636364,0.8207070707070706,"[[39  3]
 [36 30]]",0.8488,0.8782,0.8321,0.8777,0.8426,0.6656
CD_biopsy,PRJNA317429,0.5876436781609196,0.7854103343465045,"[[44  3]
 [25 10]]",0.735,0.6892,0.5872,0.6844,0.5976,0.3
CD_biopsy,PRJNA232056,0.3715335783494822,0.622972972972973,"[[20  0]
 [33  4]]",0.5791,0.7013,0.5133,0.6862,0.6667,0.1619
CD_biopsy,RISK_PRISM_b,0.6964757025306629,0.7790175223903876,"[[170 137]
 [ 93 450]]",0.7659,0.8465,0.6243,0.847,0.7165,0.3488
ICD,RISK_PRISM,0.5317647058823528,0.637606010943643,"[[ 56 286]
 [ 27 626]]",0.6344,0.7527,0.3959,0.7555,0.6553,
ICD,qiita_1629,0.7765765765765766,0.9912560721721028,"[[55  0]
 [40 91]]",0.9515,0.9802,0.8549,0.9805,0.8817,0.7109
CD_feces_to_biopsy,PRJNA398089,0.5575903614457831,0.7366522366522367,"[[ 8 34]
 [ 0 66]]",0.7579,0.8394,0.5624,0.8385,0.6759,0.2965
CD_feces_to_biopsy,PRJNA317429,0.3160603371783496,0.7252279635258359,"[[ 1 46]
 [ 1 34]]",0.6255,0.535,0.4577,0.5303,0.5122,0.2241
CD_feces_to_biopsy,PRJNA232056,0.3452702702702703,0.6729729729729731,"[[20  0]
 [34  3]]",0.5939,0.7393,0.4368,0.732,0.6491,0.0596
CD_feces_to_biopsy,RISK_PRISM_b,0.4345022816370634,0.6907577039129938,"[[ 14 293]
 [  5 538]]",0.6557,0.7559,0.4811,0.7566,0.6635,0.1863
CCD,RISK_PRISM,0.3482688391038697,0.6012794850661328,"[[342   0]
 [298   0]]",0.5229,0.4668,0.4186,0.4639,0.5031,0.1143
CCD,qiita_1629,0.3169434353918007,0.7411363636363636,"[[55  0]
 [78  2]]",0.6142,0.7609,0.3692,0.761,0.5852,
CD_feces,qiita_2538,0.4647502903600464,0.7756446991404011,"[[ 49 311]
 [  1 348]]",0.7949,0.775,0.7483,0.7756,0.7489,0.5034
CD_feces,PRJNA324147,0.6868949232585597,0.8860377358490567,"[[52  1]
 [16  9]]",0.9094,0.8062,0.805,0.8009,0.8205,0.6211
CD_feces,qiita_1629,0.202252944188428,0.9514864282636796,"[[ 55   0]
 [205   6]]",0.9065,0.9747,0.7261,0.9751,0.8571,0.5046
CD_feces,PRJNA450340,0.7682605682605683,0.95703933747412,"[[46  0]
 [19 23]]",0.9441,0.9515,0.8722,0.9514,0.875,0.7636
CD_feces,RISK_PRISM_f,0.0732217573221757,0.6358543417366948,"[[ 35   0]
 [408   0]]",0.6687,0.9555,0.5064,0.9556,0.921,0.1051
CD_feces,PRJNA422193,0.6180708180708181,0.981833910034602,"[[11 23]
 [ 0 34]]",0.968,0.9638,0.9117,0.9647,0.9118,0.825
CD_feces,PRJNA431126,0.5918642760748024,0.7179650238473767,"[[  5  29]
 [  0 185]]",0.6542,0.9029,0.621,0.9027,0.863,0.329
UC_biopsy,PRJNA398089,0.35,0.6362433862433862,"[[42  0]
 [36  0]]",0.6111,0.5309,0.4999,0.5139,0.5513,0.2274
UC_biopsy,PRJNA232056,0.392156862745098,0.6545454545454545,"[[20  0]
 [11  0]]",0.4227,0.3476,0.2439,0.313,0.3226,
UC_biopsy,RISK_PRISM_b,0.4240331491712707,0.5800710689961504,"[[307   0]
 [110   0]]",0.5564,0.2894,0.4586,0.2838,0.4628,0.0772
