disease,study,f1,auc,cms
PD,PRJNA742875,0.5215062360089543,0.7519157088122606,"[[83  1]
 [69 18]]"
PD,PRJEB27564,0.6192148501191521,0.6988749999999999,"[[86 39]
 [57 71]]"
PD,PRJEB30615,0.3780487804878048,0.7951612903225806,"[[  0 100]
 [  0 155]]"
PD,PRJNA594156,0.2876595744680851,0.738064236111111,"[[ 95   1]
 [185   7]]"
GD,PRJNA850658,0.25190839694656486,0.5463869463869464,"[[33  0]
 [65  0]]"
GD,PRJNA695309,0.43594974766455497,0.6556818181818181,"[[44  4]
 [47  8]]"
MS,PRJEB22970,0.18270854441067205,0.7628687102371312,"[[19  0]
 [88  3]]"
MS,PRJEB32763,0.41560020018588684,0.6648745519713263,"[[ 5 57]
 [ 4 68]]"
MS,PRJEB22977,0.3829787234042554,0.6642045454545454,"[[ 0 32]
 [ 1 54]]"
PC,PRJNA832909,0.41279805432764205,0.34784337109918506,"[[137  97]
 [ 32  11]]"
PC,PRJNA575620,0.2727272727272727,0.29583333333333334,"[[12  0]
 [20  0]]"
T2DM,PRJNA807457,0.38660209846650523,0.65,"[[ 1 19]
 [ 0 20]]"
T2DM,PRJNA766337,0.5299146884272996,0.5698776968530987,"[[ 58  56]
 [148 235]]"
T2DM,PRJEB59916,0.3333333333333333,0.49250000000000005,"[[20  0]
 [20  0]]"
T2DM,PRJNA743182,0.5857142857142856,0.6095238095238096,"[[8 6]
 [6 9]]"
T2DM,PRJNA1000711,0.6326754385964912,0.7743589743589745,"[[ 9  6]
 [14 38]]"
T2DM,PRJNA879337,0.4,1.0,"[[ 0  7]
 [ 0 14]]"
T2DM,PRJNA668251,0.3333333333333333,0.979591836734694,"[[0 7]
 [0 7]]"
T2DM,PRJNA743980,0.38618925831202044,0.44533333333333336,"[[11  4]
 [20  5]]"
T2DM,PRJNA788301,0.4698544698544699,0.5323076923076924,"[[ 6 20]
 [ 5 20]]"
T2DM,PRJNA734860,0.46999569522169615,0.5860992907801418,"[[44 97]
 [17 58]]"
T2DM,PRJEB11419,0.3731343283582089,0.698235294117647,"[[50  0]
 [34  0]]"
T2DM,PRJNA978958,0.7710526315789473,0.8578947368421053,"[[ 7  3]
 [ 3 16]]"
T2DM,PRJNA719138,0.4307692307692308,0.46894409937888204,"[[ 9  5]
 [16  7]]"
T2DM,PRJNA646010,0.29310344827586204,0.6813725490196079,"[[17  0]
 [24  0]]"
T2DM,PRJNA819279,0.3918813427010149,0.8119047619047619,"[[21  0]
 [19  1]]"
T2DM,PRJNA588353,0.6701786532295007,0.78125,"[[11 13]
 [ 2 22]]"
CRC,PRJNA318004,0.7097222222222221,0.7846938775510205,"[[87 43]
 [23 75]]"
CRC,PRJDB11845,0.5145545102379634,0.8353846153846154,"[[48  2]
 [41 11]]"
CRC,PRJNA290926,0.5897349763971641,0.7541538461538462,"[[128   2]
 [ 89  36]]"
CRC,PRJNA824020,0.5712209302325582,0.7564102564102565,"[[33  0]
 [20  6]]"
CRC,PRJEB6070,0.48587570621468923,0.828780487804878,"[[ 9 41]
 [ 0 41]]"
CRC,PRJNA430990,0.7681890352106099,0.8138811079987551,"[[116   3]
 [ 14  13]]"
CRC,PRJEB36789,0.7630530973451327,0.8946559015763167,"[[99  3]
 [25 26]]"
ASD,PRJNA932561,0.3333333333333333,0.804375,"[[40  0]
 [40  0]]"
ASD,PRJNA578223,0.3333333333333333,0.8302951388888888,"[[48  0]
 [48  0]]"
ASD,PRJNA1103839,0.43751987281399046,0.5193548387096775,"[[28  3]
 [26  4]]"
