,Aerobic,Anaerobic,Contains_Mobile_Elements,Facultatively_Anaerobic,Forms_Biofilms,Gram_Negative,Gram_Positive,Potentially_Pathogenic,Stress_Tolerant,Oxygen_Preference,Gram_Status
HM007565.1.1329,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
GQ871732.1.1491,0,1,0.012931034,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
GQ871710.1.1495,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
GQ871722.1.1492,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
GQ871721.1.1492,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
GQ867494.1.1452,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
GQ871708.1.1489,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
GQ871718.1.1500,0,0,0.00862069,1,0.0,0,1,0.00729927,0.016949153,Facultatively_Anaerobic,Gram_Positive
GQ871735.1.1478,0,1,0.00862069,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
GQ871724.1.1491,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
FR667185.1.1486,0,1,0.00862069,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
JQ186433.1.1345,0,1,0.00862069,0,0.0,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
JQ186465.1.1335,0,0,0.004310345,0,0.0,0,1,0.0,0.016949153,,Gram_Positive
HM037995.1.1446,0,0,0.004310345,0,0.0,0,1,0.0,0.016949153,,Gram_Positive
GQ871738.1.1486,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
AB218300.1.1457,0,1,0.00862069,0,0.0,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
AB234418.1.1355,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ186540.1.1367,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ186564.1.1345,0,0,0.0,0,0.029411765,1,0,0.0,0.0,,Gram_Negative
AB218325.1.1438,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
FR733677.1.1497,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
JQ186600.1.1362,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
FJ711049.1.1454,0,1,0.00862069,0,0.0,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
JQ186645.1.1362,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ186574.1.1364,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ186732.1.1354,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ186716.1.1366,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
EU928746.1.1484,1,0,0.0,0,0.0,1,0,0.00729927,0.0,Aerobic,Gram_Negative
JQ186757.1.1359,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ186811.1.1365,0,1,0.012931034,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ186806.1.1361,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
EU909656.1.1362,0,0,0.004310345,1,0.176470588,1,0,0.065693431,0.186440678,Facultatively_Anaerobic,Gram_Negative
AB255081.1.1485,0,1,0.00862069,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
AB264073.1.1456,0,1,0.004310345,0,0.0,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
AB264082.1.1445,0,0,0.004310345,0,0.0,0,1,0.0,0.016949153,,Gram_Positive
JQ186855.1.1332,0,1,0.00862069,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
AB264066.1.1465,0,0,0.004310345,0,0.0,0,1,0.0,0.016949153,,Gram_Positive
JQ186910.1.1359,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ186905.1.1365,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ186916.1.1366,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ186936.1.1363,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ186941.1.1365,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
AY326462.1.1473,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
JQ186988.1.1357,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
EF185167.1.1497,0,1,0.004310345,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
EF187228.1.1400,1,0,0.004310345,0,0.029411765,0,1,0.00729927,0.016949153,Aerobic,Gram_Positive
L16465.1.1473,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
L16475.1.1471,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
L34682.1.1486,0,0,0.00862069,1,0.0,0,1,0.00729927,0.016949153,Facultatively_Anaerobic,Gram_Positive
JQ187053.1.1362,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
AB288920.1.1350,0,0,0.00862069,1,0.0,0,1,0.00729927,0.016949153,Facultatively_Anaerobic,Gram_Positive
L16498.1.1472,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
L34617.1.1490,0,1,0.00862069,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
JQ248601.165626.167114,0,0,0.004310345,0,0.0,1,0,0.00729927,0.016949153,,Gram_Negative
AY362904.1.1362,0,0,0.012931034,1,0.029411765,1,0,0.080291971,0.169491525,Facultatively_Anaerobic,Gram_Negative
JQ187174.1.1376,0,0,0.237068966,1,0.058823529,1,0,0.255474453,0.525423729,Facultatively_Anaerobic,Gram_Negative
JQ187318.1.1372,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
AB108825.1.1490,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ187284.1.1353,0,0,0.00862069,1,0.0,0,1,0.00729927,0.016949153,Facultatively_Anaerobic,Gram_Positive
JQ187390.1.1362,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ187438.1.1368,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ187338.1.1362,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
JQ187269.1.1360,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ187668.1.1332,0,1,0.004310345,0,0.0,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
JQ187766.1.1332,0,1,0.004310345,0,0.0,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
JQ187756.1.1354,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
JQ188014.1.1363,0,0,0.004310345,0,0.0,0,1,0.0,0.016949153,,Gram_Positive
JQ188269.1.1325,0,0,0.004310345,0,0.029411765,1,0,0.00729927,0.016949153,,Gram_Negative
JQ187801.1.1343,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
JQ188145.1.1334,0,1,0.00862069,0,0.029411765,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
JQ188425.1.1330,0,1,0.00862069,0,0.029411765,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
JQ188245.1.1340,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
JQ188335.1.1350,0,0,0.004310345,0,0.0,0,1,0.0,0.016949153,,Gram_Positive
JQ188466.1.1374,0,0,0.00862069,1,0.0,0,1,0.00729927,0.016949153,Facultatively_Anaerobic,Gram_Positive
JQ188404.1.1363,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ188330.1.1355,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
JQ188632.1.1349,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
JQ188433.1.1358,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ188942.1.1364,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ188913.1.1377,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ189008.1.1369,0,0,0.081896552,1,0.205882353,1,0,0.270072993,0.762711864,Facultatively_Anaerobic,Gram_Negative
HQ283402.1.1494,0,0,0.004310345,0,0.0,0,1,0.0,0.016949153,,Gram_Positive
JQ189107.1.1359,0,0,0.004310345,0,0.0,0,1,0.0,0.016949153,,Gram_Positive
JQ188762.1.1359,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
GQ896835.1.1490,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
JQ189051.1.1363,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
GQ896902.1.1482,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
JQ189241.1.1358,0,0,0.00862069,1,0.0,0,1,0.00729927,0.016949153,Facultatively_Anaerobic,Gram_Positive
JQ189246.1.1332,0,1,0.00862069,0,0.029411765,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
GQ897093.1.1492,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
HM099653.1.1384,1,0,0.012931034,0,0.058823529,1,0,0.00729927,0.016949153,Aerobic,Gram_Negative
JQ189299.1.1362,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
GQ897174.1.1458,0,0,0.00862069,1,0.0,0,1,0.00729927,0.016949153,Facultatively_Anaerobic,Gram_Positive
GQ897335.1.1487,0,0,0.004310345,0,0.0,0,1,0.0,0.016949153,,Gram_Positive
GQ897259.1.1487,0,1,0.00862069,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
GQ897367.1.1479,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
GQ897435.1.1479,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
GQ897566.1.1496,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
GQ897679.1.1458,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
GQ897911.1.1486,0,0,0.004310345,0,0.0,0,1,0.0,0.016949153,,Gram_Positive
GQ897847.1.1495,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
FM995533.1.1388,1,0,0.004310345,0,0.029411765,0,1,0.00729927,0.016949153,Aerobic,Gram_Positive
GQ898015.1.1476,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
JQ189620.1.1370,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ189608.1.1364,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
GQ898038.1.1495,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
JQ189739.1.1362,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
FN178464.1.1428,0,1,0.00862069,0,0.029411765,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
JQ189795.1.1366,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ189721.1.1365,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ190044.1.1364,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ189863.1.1338,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
GQ898637.1.1476,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
GQ898643.1.1489,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
JQ189945.1.1354,0,0,0.004310345,0,0.0,0,1,0.0,0.016949153,,Gram_Positive
JQ189918.1.1366,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ190041.1.1363,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ190077.1.1356,0,0,0.004310345,0,0.0,0,1,0.0,0.016949153,,Gram_Positive
JQ190124.1.1360,0,1,0.012931034,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ190005.1.1356,0,0,0.004310345,0,0.0,0,1,0.0,0.016949153,,Gram_Positive
JQ190135.1.1353,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ190020.1.1395,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
JQ190136.1.1372,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ190214.1.1395,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
GU045364.1.1452,0,0,0.043103448,1,0.0,0,1,0.00729927,0.016949153,Facultatively_Anaerobic,Gram_Positive
JQ190022.1.1366,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ190226.1.1359,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ190269.1.1354,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ190296.1.1392,1,0,0.00862069,0,0.0,0,1,0.00729927,0.016949153,Aerobic,Gram_Positive
JQ190288.1.1362,0,1,0.00862069,0,0.0,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
JQ190319.1.1350,0,1,0.00862069,0,0.029411765,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
EF529620.1.1456,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
JQ190417.1.1346,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
JQ190467.1.1351,0,1,0.00862069,0,0.0,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
JQ190505.1.1331,0,1,0.00862069,0,0.029411765,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
AM419461.1.1482,1,0,0.004310345,0,0.029411765,0,1,0.00729927,0.016949153,Aerobic,Gram_Positive
JQ190528.1.1356,0,0,0.004310345,0,0.0,0,1,0.0,0.016949153,,Gram_Positive
JQ190553.1.1364,0,1,0.00862069,0,0.0,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
FN297835.1.1455,1,0,0.012931034,0,0.058823529,1,0,0.00729927,0.016949153,Aerobic,Gram_Negative
JQ190636.1.1334,0,1,0.00862069,0,0.029411765,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
JQ190673.1.1341,0,1,0.00862069,0,0.029411765,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
JQ190674.1.1353,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ190750.1.1364,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ190810.1.1343,0,0,0.004310345,0,0.0,1,0,0.0,0.0,,Gram_Negative
JQ190882.1.1331,0,1,0.00862069,0,0.029411765,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
HQ436501.1.1448,1,0,0.0,0,0.029411765,1,0,0.01459854,0.016949153,Aerobic,Gram_Negative
JQ190973.1.1344,1,0,0.004310345,0,0.0,1,0,0.00729927,0.0,Aerobic,Gram_Negative
JQ190854.1.1350,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
JQ190867.1.1333,0,1,0.00862069,0,0.029411765,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
HQ452862.1.1498,0,1,0.00862069,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
AC145820.26622.28093,0,0,0.004310345,0,0.0,1,0,0.00729927,0.016949153,,Gram_Negative
HQ452860.1.1480,0,0,0.00862069,1,0.0,0,1,0.00729927,0.016949153,Facultatively_Anaerobic,Gram_Positive
JQ191045.1.1353,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
HM212668.1.1457,1,0,0.004310345,0,0.029411765,1,0,0.02919708,0.06779661,Aerobic,Gram_Negative
JQ191036.1.1354,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
JQ191037.1.1327,0,1,0.00862069,0,0.029411765,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
JQ191043.1.1347,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
JQ191047.1.1363,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
JQ191049.1.1327,1,0,0.00862069,0,0.029411765,0,1,0.0,0.016949153,Aerobic,Gram_Positive
JQ191071.1.1358,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ191099.1.1400,0,1,0.012931034,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
JQ191100.1.1399,0,1,0.012931034,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
JQ191112.1.1375,0,1,0.004310345,0,0.0,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
JQ191124.1.1356,0,0,0.004310345,0,0.0,0,1,0.0,0.016949153,,Gram_Positive
JQ191119.1.1352,0,0,0.004310345,0,0.0,0,1,0.0,0.016949153,,Gram_Positive
JQ191107.1.1383,0,1,0.004310345,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
JQ191144.1.1308,1,0,0.004310345,0,0.029411765,1,0,0.00729927,0.0,Aerobic,Gram_Negative
JQ191130.1.1351,0,0,0.004310345,0,0.0,0,1,0.0,0.016949153,,Gram_Positive
JQ191110.1.1335,0,1,0.004310345,0,0.0,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
JQ191035.1.1354,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
JQ191113.1.1361,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
JQ191131.1.1350,0,0,0.004310345,0,0.0,0,1,0.0,0.016949153,,Gram_Positive
JQ191126.1.1351,0,0,0.004310345,0,0.0,0,1,0.0,0.016949153,,Gram_Positive
JQ191129.1.1352,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
JQ191139.1.1366,1,0,0.030172414,0,0.029411765,1,0,0.03649635,0.084745763,Aerobic,Gram_Negative
JQ191142.1.1334,1,0,0.004310345,0,0.029411765,1,0,0.0,0.016949153,Aerobic,Gram_Negative
JQ191054.1.1334,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
JQ191128.1.1335,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
JQ191146.1.1321,0,0,0.004310345,0,0.029411765,1,0,0.00729927,0.016949153,,Gram_Negative
JQ191141.1.1357,0,1,0.0,0,0.029411765,1,0,0.01459854,0.0,Anaerobic,Gram_Negative
JQ191104.1.1350,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
JQ191125.1.1355,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
JQ191145.1.1323,0,0,0.004310345,0,0.029411765,1,0,0.00729927,0.016949153,,Gram_Negative
EF680886.1.1412,1,0,0.004310345,0,0.029411765,0,1,0.00729927,0.016949153,Aerobic,Gram_Positive
EF694029.1.1433,0,0,0.043103448,0,0.0,0,1,0.00729927,0.016949153,,Gram_Positive
AM886059.1.1431,0,1,0.00862069,0,0.029411765,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
