Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination
GCF_003481325.1	ASM348132v1	Butyribacter intestini		TF01-11					GCF_003481325.1-RS_2024_07_21	Scaffold	2018-09-06	QUKT01	12	96.79	1.34
GCA_003472255.1	ASM347225v1	Escherichia coli		AM12-30					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRLO01	18	99.24	1.03
GCF_003472255.1	ASM347225v1	Escherichia coli		AM12-30					GCF_003472255.1-RS_2024_06_17	Scaffold	2018-09-06	QRLO01	18	99.24	1.03
GCA_003470505.1	ASM347050v1	Escherichia coli		AM20-38					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRIX01	109	98.59	0.77
GCF_003470505.1	ASM347050v1	Escherichia coli		AM20-38					GCF_003470505.1-RS_2024_07_02	Scaffold	2018-09-06	QRIX01	109	98.59	0.77
GCA_003470965.1	ASM347096v1	Escherichia coli		AM23-14AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRHV01	63	98.86	1.83
GCF_003470965.1	ASM347096v1	Escherichia coli		AM23-14AC					GCF_003470965.1-RS_2024_07_02	Scaffold	2018-09-06	QRHV01	63	98.86	1.83
GCA_003471145.1	ASM347114v1	Escherichia coli		AM22-14AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRIJ01	61	99.46	0.4
GCF_003471145.1	ASM347114v1	Escherichia coli		AM22-14AC					GCF_003471145.1-RS_2024_06_18	Scaffold	2018-09-06	QRIJ01	61	99.46	0.4
GCA_003467875.1	ASM346787v1	Escherichia coli		AM34-8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSIC01	92	99.01	1.28
GCF_003467875.1	ASM346787v1	Escherichia coli		AM34-8					GCF_003467875.1-RS_2024_06_18	Scaffold	2018-09-06	QSIC01	92	99.01	1.28
GCA_003460365.1	ASM346036v1	Escherichia coli		AF17-8LB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRXN01	146	99.49	0.66
GCF_003460365.1	ASM346036v1	Escherichia coli		AF17-8LB					GCF_003460365.1-RS_2024_07_02	Scaffold	2018-09-05	QRXN01	146	99.49	0.66
GCA_003470915.1	ASM347091v1	Escherichia coli		AM23-18AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRHT01	94	98.85	0.43
GCF_003470915.1	ASM347091v1	Escherichia coli		AM23-18AC					GCF_003470915.1-RS_2024_06_17	Scaffold	2018-09-06	QRHT01	94	98.85	0.43
GCA_003460375.1	ASM346037v1	Escherichia coli		AF17-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRXQ01	100	98.42	2.45
GCF_003460375.1	ASM346037v1	Escherichia coli		AF17-4					GCF_003460375.1-RS_2024_07_02	Scaffold	2018-09-05	QRXQ01	100	98.42	2.45
GCA_003439485.1	ASM343948v1	Escherichia coli		OM02-11AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSVS01	163	97.75	3.68
GCF_003439485.1	ASM343948v1	Escherichia coli		OM02-11AC					GCF_003439485.1-RS_2024_07_02	Scaffold	2018-08-31	QSVS01	163	97.75	3.68
GCA_003464755.1	ASM346475v1	Escherichia coli		AF14-15AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRZN01	122	97.1	1
GCF_003464755.1	ASM346475v1	Escherichia coli		AF14-15AC					GCF_003464755.1-RS_2024_06_17	Scaffold	2018-09-06	QRZN01	122	97.1	1
GCA_003439405.1	ASM343940v1	Escherichia coli		OM02-12AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSVP01	154	97.75	1.4
GCF_003439405.1	ASM343940v1	Escherichia coli		OM02-12AC					GCF_003439405.1-RS_2024_07_02	Scaffold	2018-08-31	QSVP01	154	97.75	1.4
GCA_003439795.1	ASM343979v1	Escherichia coli		OM02-28					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSVM01	164	97.75	1.4
GCF_003439795.1	ASM343979v1	Escherichia coli		OM02-28					GCF_003439795.1-RS_2024_07_08	Scaffold	2018-08-31	QSVM01	164	97.75	1.4
GCA_003439545.1	ASM343954v1	Escherichia coli		OM01-11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSVV01	184	98.89	0.42
GCF_003439545.1	ASM343954v1	Escherichia coli		OM01-11					GCF_003439545.1-RS_2024_07_09	Scaffold	2018-08-31	QSVV01	184	98.89	0.42
GCA_003475585.1	ASM347558v1	Escherichia coli		AF31-11BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRQR01	174	97.52	1.28
GCF_003475585.1	ASM347558v1	Escherichia coli		AF31-11BH					GCF_003475585.1-RS_2024_07_08	Scaffold	2018-09-06	QRQR01	174	97.52	1.28
GCA_003464415.1	ASM346441v1	Escherichia coli		AF14-7LB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRYU01	127	97.1	1.01
GCF_003464415.1	ASM346441v1	Escherichia coli		AF14-7LB					GCF_003464415.1-RS_2024_06_18	Scaffold	2018-09-06	QRYU01	127	97.1	1.01
GCA_003469495.1	ASM346949v1	Escherichia coli		AM28-16AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSKG01	139	98.76	0.52
GCF_003469495.1	ASM346949v1	Escherichia coli		AM28-16AC					GCF_003469495.1-RS_2024_07_02	Scaffold	2018-09-06	QSKG01	139	98.76	0.52
GCA_003471095.1	ASM347109v1	Escherichia coli		AM22-15AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRII01	241	96.75	3.24
GCF_003471095.1	ASM347109v1	Escherichia coli		AM22-15AC					GCF_003471095.1-RS_2024_06_17	Scaffold	2018-09-06	QRII01	241	96.75	3.24
GCA_003471715.1	ASM347171v1	Klebsiella pneumoniae		AM17-27					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRJW01	48	99.07	1.18
GCF_003471715.1	ASM347171v1	Klebsiella pneumoniae		AM17-27					GCF_003471715.1-RS_2024_12_17	Scaffold	2018-09-06	QRJW01	48	99.07	1.18
GCA_003466135.1	ASM346613v1	Klebsiella pneumoniae		TM10-8AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSOA01	52	99.06	1.36
GCF_003466135.1	ASM346613v1	Klebsiella pneumoniae		TM10-8AC					GCF_003466135.1-RS_2024_11_19	Scaffold	2018-08-31	QSOA01	52	99.06	1.36
GCA_003437295.1	ASM343729v1	Klebsiella pneumoniae		TF06-5AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSRY01	33	98.82	0.86
GCF_003437295.1	ASM343729v1	Klebsiella pneumoniae		TF06-5AC					GCF_003437295.1-RS_2024_11_19	Scaffold	2018-08-31	QSRY01	33	98.82	0.86
GCA_003475175.1	ASM347517v1	Klebsiella pneumoniae		AF37-11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QROX01	24	98.94	0.53
GCF_003475175.1	ASM347517v1	Klebsiella pneumoniae		AF37-11					GCF_003475175.1-RS_2024_11_19	Scaffold	2018-09-06	QROX01	24	98.94	0.53
GCA_003439475.1	ASM343947v1	Klebsiella pneumoniae		OM02-11LB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSVR01	50	98.29	1.08
GCF_003439475.1	ASM343947v1	Klebsiella pneumoniae		OM02-11LB					GCF_003439475.1-RS_2024_12_18	Scaffold	2018-08-31	QSVR01	50	98.29	1.08
GCA_003437255.1	ASM343725v1	Klebsiella pneumoniae		TF06-6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSRX01	69	98.84	0.57
GCF_003437255.1	ASM343725v1	Klebsiella pneumoniae		TF06-6					GCF_003437255.1-RS_2024_11_19	Scaffold	2018-08-31	QSRX01	69	98.84	0.57
GCA_003469885.1	ASM346988v1	Klebsiella pneumoniae		AM28-14AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSKI01	247	98.19	1.4
GCF_003469885.1	ASM346988v1	Klebsiella pneumoniae		AM28-14AC					GCF_003469885.1-RS_2024_11_19	Scaffold	2018-09-06	QSKI01	247	98.19	1.4
GCA_003470765.1	ASM347076v1	Lactiplantibacillus plantarum		AM25-20AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRHF01	74	99.35	1.39
GCF_003470765.1	ASM347076v1	Lactiplantibacillus plantarum		AM25-20AC					GCF_003470765.1-RS_2024_10_27	Scaffold	2018-09-06	QRHF01	74	99.35	1.39
GCA_003469805.1	ASM346980v1	Lactiplantibacillus plantarum		AM25-25					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSLM01	125	98.72	1.5
GCF_003469805.1	ASM346980v1	Lactiplantibacillus plantarum		AM25-25					GCF_003469805.1-RS_2024_10_27	Scaffold	2018-09-06	QSLM01	125	98.72	1.5
GCA_003438055.1	ASM343805v1	Enterococcus faecalis		OM08-2AT					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSSZ01	12	99.33	0.05
GCF_003438055.1	ASM343805v1	Enterococcus faecalis		OM08-2AT					GCF_003438055.1-RS_2024_09_17	Scaffold	2018-08-31	QSSZ01	12	99.33	0.05
GCA_003433665.1	ASM343366v1	Enterobacter hormaechei		AM17-61					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QVHU01	33	99.45	0.46
GCF_003433665.1	ASM343366v1	Enterobacter hormaechei		AM17-61					GCF_003433665.1-RS_2024_04_21	Scaffold	2018-08-31	QVHU01	33	99.45	0.46
GCA_003434205.1	ASM343420v1	Lacticaseibacillus paracasei		AM33-2AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QVHW01	85	94.65	2.9
GCF_003434205.1	ASM343420v1	Lacticaseibacillus paracasei		AM33-2AC					GCF_003434205.1-RS_2024_11_19	Scaffold	2018-08-31	QVHW01	85	94.65	2.9
GCA_003472365.1	ASM347236v1	Lactococcus lactis		AM11-49					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRLU01	11	99.3	0.55
GCF_003472365.1	ASM347236v1	Lactococcus lactis		AM11-49					GCF_003472365.1-RS_2024_09_17	Scaffold	2018-09-06	QRLU01	11	99.3	0.55
GCA_003471865.1	ASM347186v1	Enterobacter cloacae		AM16-28					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRKH01	23	99.24	0.59
GCF_003471865.1	ASM347186v1	Enterobacter cloacae		AM16-28					GCF_003471865.1-RS_2024_09_17	Scaffold	2018-09-06	QRKH01	23	99.24	0.59
GCA_003464285.1	ASM346428v1	Limosilactobacillus fermentum		AF15-40LB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRYM01	80	95.3	5.46
GCF_003464285.1	ASM346428v1	Limosilactobacillus fermentum		AF15-40LB					GCF_003464285.1-RS_2024_03_31	Scaffold	2018-09-06	QRYM01	80	95.3	5.46
GCA_003462755.1	ASM346275v1	Limosilactobacillus fermentum		AF16-22LB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRYA01	104	94.7	4.93
GCF_003462755.1	ASM346275v1	Limosilactobacillus fermentum		AF16-22LB					GCF_003462755.1-RS_2024_10_13	Scaffold	2018-09-06	QRYA01	104	94.7	4.93
GCA_003468265.1	ASM346826v1	Bifidobacterium longum		AM39-10AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSGY01	14	99.38	0.16
GCF_003468265.1	ASM346826v1	Bifidobacterium longum		AM39-10AC					GCF_003468265.1-RS_2024_09_17	Scaffold	2018-09-06	QSGY01	14	99.38	0.16
GCA_003467395.1	ASM346739v1	Bifidobacterium longum		AM39-8AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSGR01	14	99.38	0.16
GCF_003467395.1	ASM346739v1	Bifidobacterium longum		AM39-8AC					GCF_003467395.1-RS_2024_09_17	Scaffold	2018-09-06	QSGR01	14	99.38	0.16
GCA_003437695.1	ASM343769v1	Bifidobacterium longum		TF08-4AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSRH01	22	99.3	0.16
GCF_003437695.1	ASM343769v1	Bifidobacterium longum		TF08-4AC					GCF_003437695.1-RS_2024_09_17	Scaffold	2018-08-31	QSRH01	22	99.3	0.16
GCA_003465635.1	ASM346563v1	Bifidobacterium longum		AF05-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSBF01	21	97.89	0.16
GCF_003465635.1	ASM346563v1	Bifidobacterium longum		AF05-2					GCF_003465635.1-RS_2024_09_17	Scaffold	2018-09-06	QSBF01	21	97.89	0.16
GCA_003465665.1	ASM346566v1	Bifidobacterium longum		AF05-16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSBG01	23	97.89	0.16
GCF_003465665.1	ASM346566v1	Bifidobacterium longum		AF05-16					GCF_003465665.1-RS_2024_09_17	Scaffold	2018-09-06	QSBG01	23	97.89	0.16
GCA_003466505.1	ASM346650v1	Bifidobacterium longum		TM05-14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSPR01	19	99.38	0.27
GCF_003466505.1	ASM346650v1	Bifidobacterium longum		TM05-14					GCF_003466505.1-RS_2024_09_17	Scaffold	2018-08-31	QSPR01	19	99.38	0.27
GCA_003457975.1	ASM345797v1	Bifidobacterium longum		AF27-1BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRTM01	18	99.38	0.39
GCF_003457975.1	ASM345797v1	Bifidobacterium longum		AF27-1BH					GCF_003457975.1-RS_2024_09_17	Scaffold	2018-09-05	QRTM01	18	99.38	0.39
GCA_003472305.1	ASM347230v1	Bifidobacterium longum		AM12-16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRLQ01	23	99.38	0.34
GCF_003472305.1	ASM347230v1	Bifidobacterium longum		AM12-16					GCF_003472305.1-RS_2024_09_17	Scaffold	2018-09-06	QRLQ01	23	99.38	0.34
GCA_003465095.1	ASM346509v1	Bifidobacterium longum		AF11-41					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSAM01	30	99.85	0.25
GCF_003465095.1	ASM346509v1	Bifidobacterium longum		AF11-41					GCF_003465095.1-RS_2024_09_17	Scaffold	2018-09-06	QSAM01	30	99.85	0.25
GCA_003468805.1	ASM346880v1	Bifidobacterium longum		AM31-13LB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSJE01	14	99.85	0.16
GCF_003468805.1	ASM346880v1	Bifidobacterium longum		AM31-13LB					GCF_003468805.1-RS_2024_09_17	Scaffold	2018-09-06	QSJE01	14	99.85	0.16
GCA_003437995.1	ASM343799v1	Bifidobacterium longum		TF01-22					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSSW01	14	99.38	0.25
GCF_003437995.1	ASM343799v1	Bifidobacterium longum		TF01-22					GCF_003437995.1-RS_2024_09_17	Scaffold	2018-08-31	QSSW01	14	99.38	0.25
GCA_003464575.1	ASM346457v1	Bifidobacterium longum		AF14-34					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRZE01	30	98.91	0.7
GCF_003464575.1	ASM346457v1	Bifidobacterium longum		AF14-34					GCF_003464575.1-RS_2024_09_17	Scaffold	2018-09-06	QRZE01	30	98.91	0.7
GCA_003465745.1	ASM346574v1	Bifidobacterium longum		AF04-13					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSBN01	16	99.3	0.16
GCF_003465745.1	ASM346574v1	Bifidobacterium longum		AF04-13					GCF_003465745.1-RS_2024_09_17	Scaffold	2018-09-06	QSBN01	16	99.3	0.16
GCA_003464685.1	ASM346468v1	Bifidobacterium longum		AF14-22					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRZJ01	26	98.91	0.7
GCF_003464685.1	ASM346468v1	Bifidobacterium longum		AF14-22					GCF_003464685.1-RS_2024_09_17	Scaffold	2018-09-06	QRZJ01	26	98.91	0.7
GCA_003466045.1	ASM346604v1	Bifidobacterium longum		AF03-20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSBS01	17	99.25	0.16
GCF_003466045.1	ASM346604v1	Bifidobacterium longum		AF03-20					GCF_003466045.1-RS_2024_09_17	Scaffold	2018-09-06	QSBS01	17	99.25	0.16
GCA_003466425.1	ASM346642v1	Bifidobacterium longum		TM06-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSPJ01	14	99.38	0.16
GCF_003466425.1	ASM346642v1	Bifidobacterium longum		TM06-1					GCF_003466425.1-RS_2024_09_17	Scaffold	2018-08-31	QSPJ01	14	99.38	0.16
GCA_003471915.1	ASM347191v1	Bifidobacterium longum		AM16-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRKK01	17	99.38	0.58
GCF_003471915.1	ASM347191v1	Bifidobacterium longum		AM16-2					GCF_003471915.1-RS_2024_09_17	Scaffold	2018-09-06	QRKK01	17	99.38	0.58
GCA_003472405.1	ASM347240v1	Bifidobacterium longum		AM11-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRLW01	25	98.45	0.25
GCF_003472405.1	ASM347240v1	Bifidobacterium longum		AM11-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRLW01	25	98.45	0.25
GCA_003474905.1	ASM347490v1	Bifidobacterium longum		AF36-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRPJ01	19	99.38	0.16
GCF_003474905.1	ASM347490v1	Bifidobacterium longum		AF36-1					GCF_003474905.1-RS_2024_09_18	Scaffold	2018-09-06	QRPJ01	19	99.38	0.16
GCA_003437095.1	ASM343709v1	Bifidobacterium longum		TF07-39					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSRO01	16	99.34	0.16
GCF_003437095.1	ASM343709v1	Bifidobacterium longum		TF07-39					GCF_003437095.1-RS_2024_09_17	Scaffold	2018-08-31	QSRO01	16	99.34	0.16
GCA_003437105.1	ASM343710v1	Bifidobacterium longum		TF07-34					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSRP01	26	99.06	0.25
GCF_003437105.1	ASM343710v1	Bifidobacterium longum		TF07-34					GCF_003437105.1-RS_2024_09_17	Scaffold	2018-08-31	QSRP01	26	99.06	0.25
GCA_003475025.1	ASM347502v1	Bifidobacterium longum		AF35-13AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRPR01	21	99.3	0.39
GCF_003475025.1	ASM347502v1	Bifidobacterium longum		AF35-13AC					GCF_003475025.1-RS_2024_09_18	Scaffold	2018-09-06	QRPR01	21	99.3	0.39
GCA_003465785.1	ASM346578v1	Bifidobacterium longum		AF03-27					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSBQ01	20	98.94	0.16
GCF_003465785.1	ASM346578v1	Bifidobacterium longum		AF03-27					GCF_003465785.1-RS_2024_09_17	Scaffold	2018-09-06	QSBQ01	20	98.94	0.16
GCA_003466075.1	ASM346607v1	Bifidobacterium longum		AF03-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSBU01	19	99.25	0.16
GCF_003466075.1	ASM346607v1	Bifidobacterium longum		AF03-10					GCF_003466075.1-RS_2024_09_17	Scaffold	2018-09-06	QSBU01	19	99.25	0.16
GCA_003468005.1	ASM346800v1	Bifidobacterium longum		AM42-13AT					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSGC01	16	99.38	0.39
GCF_003468005.1	ASM346800v1	Bifidobacterium longum		AM42-13AT					GCF_003468005.1-RS_2024_09_17	Scaffold	2018-09-06	QSGC01	16	99.38	0.39
GCA_003437715.1	ASM343771v1	Bifidobacterium longum		TF06-45A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSRZ01	21	99.38	0.16
GCF_003437715.1	ASM343771v1	Bifidobacterium longum		TF06-45A					GCF_003437715.1-RS_2024_09_17	Scaffold	2018-08-31	QSRZ01	21	99.38	0.16
GCA_003438385.1	ASM343838v1	Bifidobacterium longum		OM05-2BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSUI01	46	99.34	0.16
GCF_003438385.1	ASM343838v1	Bifidobacterium longum		OM05-2BH					GCF_003438385.1-RS_2024_09_17	Scaffold	2018-08-31	QSUI01	46	99.34	0.16
GCA_003473205.1	ASM347320v1	Bifidobacterium longum		AM11-5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRLT01	32	98.45	0.37
GCF_003473205.1	ASM347320v1	Bifidobacterium longum		AM11-5					GCF_003473205.1-RS_2024_09_17	Scaffold	2018-09-06	QRLT01	32	98.45	0.37
GCA_003464805.1	ASM346480v1	Bifidobacterium longum		AF13-41					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRZU01	22	98.91	0.16
GCF_003464805.1	ASM346480v1	Bifidobacterium longum		AF13-41					GCF_003464805.1-RS_2024_09_17	Scaffold	2018-09-06	QRZU01	22	98.91	0.16
GCA_003465365.1	ASM346536v1	Bifidobacterium longum		AF13-34					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRZY01	24	98.91	0.16
GCF_003465365.1	ASM346536v1	Bifidobacterium longum		AF13-34					GCF_003465365.1-RS_2024_09_17	Scaffold	2018-09-06	QRZY01	24	98.91	0.16
GCA_003465455.1	ASM346545v1	Bifidobacterium longum		AF11-12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSAR01	58	99.38	0.25
GCF_003465455.1	ASM346545v1	Bifidobacterium longum		AF11-12					GCF_003465455.1-RS_2024_09_17	Scaffold	2018-09-06	QSAR01	58	99.38	0.25
GCA_003475865.1	ASM347586v1	Bifidobacterium longum		AF30-11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRQW01	18	99.38	0.25
GCF_003475865.1	ASM347586v1	Bifidobacterium longum		AF30-11					GCF_003475865.1-RS_2024_09_18	Scaffold	2018-09-06	QRQW01	18	99.38	0.25
GCA_003437135.1	ASM343713v1	Bifidobacterium longum		TF07-31					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSRQ01	22	99.24	0.25
GCF_003437135.1	ASM343713v1	Bifidobacterium longum		TF07-31					GCF_003437135.1-RS_2024_09_17	Scaffold	2018-08-31	QSRQ01	22	99.24	0.25
GCA_003465545.1	ASM346554v1	Bifidobacterium longum		AF08-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSAY01	23	99.15	0.25
GCF_003465545.1	ASM346554v1	Bifidobacterium longum		AF08-2					GCF_003465545.1-RS_2024_09_17	Scaffold	2018-09-06	QSAY01	23	99.15	0.25
GCA_003437455.1	ASM343745v1	Bifidobacterium longum		TM01-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSQH01	19	98.91	0.16
GCF_003437455.1	ASM343745v1	Bifidobacterium longum		TM01-1					GCF_003437455.1-RS_2024_09_17	Scaffold	2018-08-31	QSQH01	19	98.91	0.16
GCA_003471245.1	ASM347124v1	Bifidobacterium longum		AM21-20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRIR01	25	98.91	0.48
GCF_003471245.1	ASM347124v1	Bifidobacterium longum		AM21-20					GCF_003471245.1-RS_2024_09_17	Scaffold	2018-09-06	QRIR01	25	98.91	0.48
GCA_003475835.1	ASM347583v1	Bifidobacterium longum		AF30-12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRQV01	16	99.38	0.25
GCF_003475835.1	ASM347583v1	Bifidobacterium longum		AF30-12					GCF_003475835.1-RS_2024_09_18	Scaffold	2018-09-06	QRQV01	16	99.38	0.25
