query_id,refer_id,identity,alignment_length,mismatches,gap_openings,q.start,q.end,s.start,s.end,e-value,bit_score,length,coverage,refer,genome_id
FJ816610.1.1409,16S_rRNA::PVEQ01000042.1:3983-5510(-),99.9,1410,1,1,1,1409,1,1527,-1,0,1409,1.000709723207949,PVEQ01000042.1,GCA_002973575.1_genomic
HE681341.1.1520,16S_rRNA::CP027241.1:1111604-1113133(+),99.5,1520,8,0,1,1520,1,1529,-1,0,1520,1.0,CP027241.1,GCA_002999035.1_genomic
CVUG01000013.3917.5427,16S_rRNA::BFBT01000001.1:446081-447610(-),99.9,1511,1,0,1,1511,1,1529,-1,0,1511,1.0,BFBT01000001.1,GCA_003112755.1_genomic
JX294354.1.1467,16S_rRNA::MORC01000004.1:15085-16592(+),99.9,1467,2,0,1,1467,1,1507,-1,0,1467,1.0,MORC01000004.1,GCA_003260345.1_genomic
FWCH01000011.36791.38284,16S_rRNA::QVEO01000049.1:347-1858(+),99.9,1494,2,0,1,1494,1,1511,-1,0,1494,1.0,QVEO01000049.1,GCA_003433795.1_genomic
DQ279737.1.1420,16S_rRNA::QVET01000012.1:131898-133427(+),99.6,1420,5,0,1,1420,1,1529,-1,0,1420,1.0,QVET01000012.1,GCA_003433945.1_genomic
FJ366838.1.1357,16S_rRNA::QVEX01000043.1:1-1435(-),99.0,1359,11,2,1,1357,1,1434,-1,0,1357,1.0014738393515106,QVEX01000043.1,GCA_003434055.1_genomic
FJ366724.1.1358,16S_rRNA::QVFB01000003.1:78-1587(+),99.0,1358,13,0,1,1358,1,1509,-1,0,1358,1.0,QVFB01000003.1,GCA_003434135.1_genomic
CP002616.1951017.1952566,16S_rRNA::QVHW01000051.1:3415-4981(-),99.8,1550,3,0,1,1550,1,1566,-1,0,1550,1.0,QVHW01000051.1,GCA_003434205.1_genomic
CXRK01001744.867.2406,16S_rRNA::QVHY01000002.1:189234-190791(+),99.4,1540,10,0,1,1540,1,1557,-1,0,1540,1.0,QVHY01000002.1,GCA_003434285.1_genomic
GQ449088.1.1384,16S_rRNA::QTLF01000064.1:565-2090(+),99.2,1384,11,0,1,1384,1,1525,-1,0,1384,1.0,QTLF01000064.1,GCA_003434395.1_genomic
CYPT01000006.3586.5077,16S_rRNA::QVGL01000090.1:3744-5270(-),99.9,1492,1,0,1,1492,1,1526,-1,0,1492,1.0,QVGL01000090.1,GCA_003434475.1_genomic
HQ761707.1.1433,16S_rRNA::QVGK01000064.1:3734-5260(-),99.1,1433,10,2,1,1433,1,1526,-1,0,1433,1.0,QVGK01000064.1,GCA_003434585.1_genomic
AB238927.1.1486,16S_rRNA::QTLI01000016.1:143983-145504(+),99.7,1486,5,0,1,1486,1,1521,-1,0,1486,1.0,QTLI01000016.1,GCA_003434625.1_genomic
KP966092.1.1345,16S_rRNA::QVLW01000025.1:12-1540(+),100.0,1345,0,0,1,1345,1,1528,-1,0,1345,1.0,QVLW01000025.1,GCA_003434665.1_genomic
FJ369153.1.1365,16S_rRNA::QVLZ01000026.1:3627-5152(-),99.0,1365,13,0,1,1365,1,1525,-1,0,1365,1.0,QVLZ01000026.1,GCA_003435205.1_genomic
ABGD02000021.1868.3380,16S_rRNA::QVME01000002.1:3317-4838(-),100.0,1513,0,0,1,1513,1,1521,-1,0,1513,1.0,QVME01000002.1,GCA_003435515.1_genomic
FJ369934.1.1360,16S_rRNA::QTUP01000019.1:74991-76521(+),99.3,1360,9,0,1,1360,1,1530,-1,0,1360,1.0,QTUP01000019.1,GCA_003435735.1_genomic
FJ372234.1.1374,16S_rRNA::QTVH01000004.1:54-1597(-),99.3,1374,9,0,1,1374,1,1543,-1,0,1374,1.0,QTVH01000004.1,GCA_003435975.1_genomic
HM007578.1.1344,16S_rRNA::QSOS01000006.1:3843-5368(-),100.0,1344,0,0,1,1344,1,1525,-1,0,1344,1.0,QSOS01000006.1,GCA_003436135.1_genomic
HQ774224.1.1417,16S_rRNA::QSOY01000001.1:172749-174273(+),99.0,1417,12,2,1,1417,1,1524,-1,0,1417,1.0,QSOY01000001.1,GCA_003436175.1_genomic
HQ789383.1.1443,16S_rRNA::QSOR01000009.1:183977-185502(-),99.0,1443,14,0,1,1443,1,1525,-1,0,1443,1.0,QSOR01000009.1,GCA_003436285.1_genomic
AB595132.1.1457,16S_rRNA::QSOW01000017.1:231-1734(-),99.9,1457,1,0,1,1457,1,1503,-1,0,1457,1.0,QSOW01000017.1,GCA_003436335.1_genomic
AY151398.1.1400,16S_rRNA::QSQD01000002.1:172950-174473(-),99.4,1400,8,1,1,1400,1,1523,-1,0,1400,1.0,QSQD01000002.1,GCA_003436595.1_genomic
HQ787308.1.1451,16S_rRNA::QSQQ01000047.1:9-1536(-),99.0,1451,13,1,1,1451,1,1527,-1,0,1451,1.0,QSQQ01000047.1,GCA_003436805.1_genomic
AFYE01000091.124.1666,16S_rRNA::QSQR01000007.1:117390-118949(+),100.0,1543,0,0,1,1543,1,1559,-1,0,1543,1.0,QSQR01000007.1,GCA_003436835.1_genomic
AB601001.1.1469,16S_rRNA::QSRJ01000025.1:335-1839(+),99.9,1469,2,0,1,1469,1,1504,-1,0,1469,1.0,QSRJ01000025.1,GCA_003436995.1_genomic
D86187.1.1513,16S_rRNA::QSRN01000008.1:101878-103404(+),99.9,1513,1,0,1,1513,1,1526,-1,0,1513,1.0,QSRN01000008.1,GCA_003437075.1_genomic
GQ491661.1.1347,16S_rRNA::QSPL01000004.1:8-1535(-),99.1,1347,11,1,1,1347,1,1527,-1,0,1347,1.0,QSPL01000004.1,GCA_003437395.1_genomic
FJ509958.1.1383,16S_rRNA::QSQU01000026.1:81643-83168(+),99.3,1383,10,0,1,1383,1,1525,-1,0,1383,1.0,QSQU01000026.1,GCA_003437545.1_genomic
GQ898414.1.1490,16S_rRNA::QSRF01000004.1:243300-244827(+),99.2,1490,12,0,1,1490,1,1527,-1,0,1490,1.0,QSRF01000004.1,GCA_003437665.1_genomic
KF990498.1.1449,16S_rRNA::QSSB01000007.1:85691-87215(-),99.9,1449,1,1,1,1449,1,1524,-1,0,1449,1.0,QSSB01000007.1,GCA_003437735.1_genomic
KF147852.1.1523,16S_rRNA::QSSC01000006.1:30509-32033(-),99.5,1523,6,1,1,1523,1,1524,-1,0,1523,1.0,QSSC01000006.1,GCA_003437755.1_genomic
FJ363169.1.1353,16S_rRNA::QSTW01000020.1:6439-7963(+),99.1,1353,11,1,1,1353,1,1524,-1,0,1353,1.0,QSTW01000020.1,GCA_003438305.1_genomic
HQ768433.1.1402,16S_rRNA::QSTZ01000004.1:60042-61545(+),99.1,1402,13,0,1,1402,1,1503,-1,0,1402,1.0,QSTZ01000004.1,GCA_003438345.1_genomic
FJ365362.1.1347,16S_rRNA::QSUG01000006.1:40-1569(-),99.0,1347,12,1,1,1347,1,1529,-1,0,1347,1.0,QSUG01000006.1,GCA_003438365.1_genomic
CP001853.563211.564442,16S_rRNA::QSSU01000013.1:3265-4800(+),100.0,1232,0,0,1,1232,1,1535,-1,0,1232,1.0,QSSU01000013.1,GCA_003438565.1_genomic
CP011403.217209.218758,16S_rRNA::QSTB01000005.1:93312-94869(+),99.8,1550,3,0,1,1550,1,1557,-1,0,1550,1.0,QSTB01000005.1,GCA_003438595.1_genomic
HQ807118.1.1422,16S_rRNA::QSTM01000002.1:515107-516628(+),99.1,1422,13,0,1,1422,1,1521,-1,0,1422,1.0,QSTM01000002.1,GCA_003438675.1_genomic
FJ363562.1.1364,16S_rRNA::QSTU01000038.1:3573-5098(-),99.2,1364,11,0,1,1364,1,1525,-1,0,1364,1.0,QSTU01000038.1,GCA_003438765.1_genomic
HQ807131.1.1274,16S_rRNA::QSTV01000006.1:199271-200796(-),99.1,1274,10,2,1,1274,1,1525,-1,0,1274,1.0,QSTV01000006.1,GCA_003438775.1_genomic
AY979504.1.1362,16S_rRNA::QSUC01000036.1:31681-33210(-),99.3,1362,9,0,1,1362,1,1529,-1,0,1362,1.0,QSUC01000036.1,GCA_003438885.1_genomic
CDZC01018442.2079.3583,16S_rRNA::QSUR01000005.1:3738-5259(-),99.9,1505,1,0,1,1505,1,1521,-1,0,1505,1.0,QSUR01000005.1,GCA_003439055.1_genomic
AGXQ01000010.543.2059,16S_rRNA::QSUS01000002.1:618372-619897(-),99.9,1517,2,0,1,1517,1,1525,-1,0,1517,1.0,QSUS01000002.1,GCA_003439065.1_genomic
JN787191.1.1404,16S_rRNA::QSUT01000003.1:193969-195521(-),99.9,1404,1,0,1,1404,1,1552,-1,0,1404,1.0,QSUT01000003.1,GCA_003439105.1_genomic
GU811876.1.1293,16S_rRNA::QSVG01000001.1:354734-356256(+),99.5,1293,6,0,1,1293,1,1522,-1,0,1293,1.0,QSVG01000001.1,GCA_003439335.1_genomic
GQ493391.1.1374,16S_rRNA::QSVF01000007.1:3334-4856(-),99.3,1374,8,2,1,1374,1,1522,-1,0,1374,1.0,QSVF01000007.1,GCA_003439345.1_genomic
JF163825.1.1359,16S_rRNA::QSVL01000068.1:3675-5200(-),99.2,1359,11,0,1,1359,1,1525,-1,0,1359,1.0,QSVL01000068.1,GCA_003439395.1_genomic
LN824133.260327.261854,16S_rRNA::QSVR01000014.1:101267-102803(+),99.9,1528,1,0,1,1528,1,1536,-1,0,1528,1.0,QSVR01000014.1,GCA_003439475.1_genomic
HQ751509.1.1444,16S_rRNA::QSVU01000055.1:496-2024(-),99.4,1444,9,0,1,1444,1,1528,-1,0,1444,1.0,QSVU01000055.1,GCA_003439535.1_genomic
LT622246.5345680.5347196,16S_rRNA::QSWC01000016.1:175133-176658(-),100.0,1517,0,0,1,1517,1,1525,-1,0,1517,1.0,QSWC01000016.1,GCA_003439865.1_genomic
CP012801.4518451.4519968,16S_rRNA::QRSV01000001.1:131429-132948(+),99.8,1519,1,2,1,1518,1,1519,-1,0,1518,1.0006587615283267,QRSV01000001.1,GCA_003457665.1_genomic
FJ154797.1.1435,16S_rRNA::QRSW01000013.1:3374-4918(-),100.0,1435,0,0,1,1435,1,1544,-1,0,1435,1.0,QRSW01000013.1,GCA_003457695.1_genomic
JN713312.1.1522,16S_rRNA::QRTJ01000004.1:138967-140495(+),99.0,1522,15,0,1,1522,1,1528,-1,0,1522,1.0,QRTJ01000004.1,GCA_003457855.1_genomic
JQ083407.1.1518,16S_rRNA::QRTP01000019.1:4897-6449(-),99.1,1518,13,0,1,1518,1,1552,-1,0,1518,1.0,QRTP01000019.1,GCA_003458205.1_genomic
HQ777715.1.1440,16S_rRNA::QRTQ01000019.1:28-1553(+),99.0,1440,14,0,1,1440,1,1525,-1,0,1440,1.0,QRTQ01000019.1,GCA_003458215.1_genomic
EF405400.1.1491,16S_rRNA::QRUY01000011.1:111459-112984(-),99.9,1491,2,0,1,1491,1,1525,-1,0,1491,1.0,QRUY01000011.1,GCA_003458595.1_genomic
FJ366051.1.1366,16S_rRNA::QRWE01000032.1:3579-5103(-),99.2,1366,9,2,1,1366,1,1524,-1,0,1366,1.0,QRWE01000032.1,GCA_003459535.1_genomic
EU765990.1.1358,16S_rRNA::QRWJ01000046.1:3581-5104(-),99.0,1358,12,1,1,1358,1,1523,-1,0,1358,1.0,QRWJ01000046.1,GCA_003459585.1_genomic
HQ779582.1.1438,16S_rRNA::QRWR01000006.1:79409-80933(-),99.1,1438,13,0,1,1438,1,1524,-1,0,1438,1.0,QRWR01000006.1,GCA_003459715.1_genomic
AB490804.1.1482,16S_rRNA::QRXW01000022.1:10-1535(+),99.9,1482,0,1,1,1482,1,1525,-1,0,1482,1.0,QRXW01000022.1,GCA_003460105.1_genomic
EU766073.1.1358,16S_rRNA::QRXL01000005.1:130724-132247(+),99.2,1358,10,1,1,1358,1,1523,-1,0,1358,1.0,QRXL01000005.1,GCA_003460345.1_genomic
DQ905075.1.1402,16S_rRNA::QTVD01000021.1:3593-5119(-),99.2,1403,10,1,1,1402,1,1526,-1,0,1402,1.0007132667617689,QTVD01000021.1,GCA_003460445.1_genomic
FJ511229.1.1372,16S_rRNA::QTWB01000006.1:181290-182818(+),99.1,1373,11,1,1,1372,1,1528,-1,0,1372,1.000728862973761,QTWB01000006.1,GCA_003460905.1_genomic
FJ366749.1.1313,16S_rRNA::QTWR01000007.1:76419-77928(+),99.0,1313,13,0,1,1313,1,1509,-1,0,1313,1.0,QTWR01000007.1,GCA_003461215.1_genomic
AB554233.1.1486,16S_rRNA::QTXM01000048.1:12-1533(+),99.8,1486,3,0,1,1486,1,1521,-1,0,1486,1.0,QTXM01000048.1,GCA_003461645.1_genomic
FJ369857.1.1343,16S_rRNA::QTXN01000008.1:143547-145065(+),99.2,1343,11,0,1,1343,1,1518,-1,0,1343,1.0,QTXN01000008.1,GCA_003461655.1_genomic
JF161006.1.1350,16S_rRNA::QTYM01000008.1:128581-130109(+),99.3,1352,7,3,1,1350,1,1528,-1,0,1350,1.0014814814814814,QTYM01000008.1,GCA_003462165.1_genomic
JQ189818.1.1366,16S_rRNA::QSCI01000155.1:11-1540(+),99.2,1366,7,4,1,1366,1,1529,-1,0,1366,1.0,QSCI01000155.1,GCA_003463005.1_genomic
LT906459.1477099.1478610,16S_rRNA::QSCO01000021.1:99819-101339(-),99.9,1512,2,0,1,1512,1,1520,-1,0,1512,1.0,QSCO01000021.1,GCA_003463405.1_genomic
KF843378.1.1402,16S_rRNA::QRYV01000013.1:104370-105895(+),99.3,1402,4,6,1,1402,1,1525,-1,0,1402,1.0,QRYV01000013.1,GCA_003464445.1_genomic
FJ370437.1.1363,16S_rRNA::QRZM01000027.1:15-1545(-),99.0,1363,9,4,1,1363,1,1530,-1,0,1363,1.0,QRZM01000027.1,GCA_003464745.1_genomic
EU763365.1.1358,16S_rRNA::QRZQ01000033.1:3654-5179(-),99.1,1359,11,1,1,1358,1,1525,-1,0,1358,1.0007363770250368,QRZQ01000033.1,GCA_003465275.1_genomic
FJ371227.1.1374,16S_rRNA::QSBD01000002.1:174103-175626(+),99.1,1374,13,0,1,1374,1,1523,-1,0,1374,1.0,QSBD01000002.1,GCA_003465625.1_genomic
AY571668.1.1382,16S_rRNA::QSBH01000007.1:93145-94706(+),99.3,1382,10,0,1,1382,1,1561,-1,0,1382,1.0,QSBH01000007.1,GCA_003465965.1_genomic
JN012913.1.1445,16S_rRNA::QSBR01000026.1:3573-5092(-),99.6,1445,6,0,1,1445,1,1519,-1,0,1445,1.0,QSBR01000026.1,GCA_003466025.1_genomic
JQ189008.1.1369,16S_rRNA::QSOA01000003.1:355520-357056(-),99.2,1369,3,7,1,1369,1,1536,-1,0,1369,1.0,QSOA01000003.1,GCA_003466135.1_genomic
FJ507772.1.1371,16S_rRNA::QSOK01000005.1:101-1628(+),99.2,1373,9,1,1,1371,1,1527,-1,0,1371,1.0014587892049598,QSOK01000005.1,GCA_003466265.1_genomic
JX006410.1.1422,16S_rRNA::QSON01000001.1:231-1759(-),99.0,1423,12,2,1,1422,1,1528,-1,0,1422,1.00070323488045,QSON01000001.1,GCA_003466285.1_genomic
HQ748409.1.1436,16S_rRNA::QSOX01000004.1:326-1849(+),99.0,1436,14,0,1,1436,1,1523,-1,0,1436,1.0,QSOX01000004.1,GCA_003466325.1_genomic
FJ366640.1.1368,16S_rRNA::QSPB01000099.1:3308-4846(-),99.0,1368,11,2,1,1368,1,1538,-1,0,1368,1.0,QSPB01000099.1,GCA_003466385.1_genomic
JQ940705.1.1452,16S_rRNA::QSEU01000032.1:560-2088(-),99.0,1453,12,2,1,1452,1,1528,-1,0,1452,1.0006887052341598,QSEU01000032.1,GCA_003466705.1_genomic
EU156766.1.1269,16S_rRNA::QSFF01000002.1:173874-175427(-),100.0,1269,0,0,1,1269,1,1553,-1,0,1269,1.0,QSFF01000002.1,GCA_003466855.1_genomic
HQ778902.1.1445,16S_rRNA::QSFN01000007.1:164-1683(+),99.8,1445,3,0,1,1445,1,1519,-1,0,1445,1.0,QSFN01000007.1,GCA_003467005.1_genomic
AB064919.1.1492,16S_rRNA::QSFT01000006.1:10346-11874(+),99.9,1492,1,0,1,1492,1,1528,-1,0,1492,1.0,QSFT01000006.1,GCA_003467215.1_genomic
GQ491919.1.1299,16S_rRNA::QSHF01000025.1:3490-5011(-),99.1,1299,12,0,1,1299,1,1521,-1,0,1299,1.0,QSHF01000025.1,GCA_003467575.1_genomic
EU763050.1.1359,16S_rRNA::QSHH01000045.1:188-1767(-),99.3,1359,7,3,1,1359,1,1579,-1,0,1359,1.0,QSHH01000045.1,GCA_003467625.1_genomic
DQ803578.1.1379,16S_rRNA::QSHL01000002.1:6-1533(-),99.1,1379,10,2,1,1379,1,1527,-1,0,1379,1.0,QSHL01000002.1,GCA_003467675.1_genomic
CP026799.318192.319713,16S_rRNA::QSIC01000008.1:210597-212135(+),99.9,1522,2,0,1,1522,1,1538,-1,0,1522,1.0,QSIC01000008.1,GCA_003467875.1_genomic
AY980959.1.1365,16S_rRNA::QSFW01000003.1:23929-25458(+),99.3,1365,8,2,1,1365,1,1529,-1,0,1365,1.0,QSFW01000003.1,GCA_003467935.1_genomic
HQ770013.1.1422,16S_rRNA::QSIP01000024.1:3818-5339(-),99.2,1422,12,0,1,1422,1,1521,-1,0,1422,1.0,QSIP01000024.1,GCA_003468605.1_genomic
EU767269.1.1364,16S_rRNA::QSJD01000004.1:49084-50609(-),99.1,1364,7,3,1,1364,1,1525,-1,0,1364,1.0,QSJD01000004.1,GCA_003468785.1_genomic
EF401853.1.1491,16S_rRNA::QSJR01000012.1:545-2073(-),99.1,1492,13,1,1,1491,1,1528,-1,0,1491,1.000670690811536,QSJR01000012.1,GCA_003468945.1_genomic
FJ363277.1.1367,16S_rRNA::QSJS01000006.1:16-1545(-),99.0,1367,12,1,1,1367,1,1529,-1,0,1367,1.0,QSJS01000006.1,GCA_003468965.1_genomic
AF371544.1.1441,16S_rRNA::QSJW01000004.1:6-1533(-),99.3,1442,9,1,1,1441,1,1527,-1,0,1441,1.0006939625260236,QSJW01000004.1,GCA_003468995.1_genomic
HQ786260.1.1434,16S_rRNA::QSJF01000024.1:52745-54270(-),99.0,1434,14,0,1,1434,1,1525,-1,0,1434,1.0,QSJF01000024.1,GCA_003469305.1_genomic
CXSE01001446.1371.2879,16S_rRNA::QSJP01000007.1:133977-135502(-),99.5,1509,8,0,1,1509,1,1525,-1,0,1509,1.0,QSJP01000007.1,GCA_003469365.1_genomic
HQ794655.1.1423,16S_rRNA::QSJQ01000016.1:42-1562(+),99.1,1423,13,0,1,1423,1,1520,-1,0,1423,1.0,QSJQ01000016.1,GCA_003469405.1_genomic
CP026831.867103.868624,16S_rRNA::QSKG01000110.1:45-1583(-),99.9,1522,1,0,1,1522,1,1538,-1,0,1522,1.0,QSKG01000110.1,GCA_003469495.1_genomic
HQ775268.1.1445,16S_rRNA::QSKX01000001.1:214349-215876(+),99.0,1445,14,0,1,1445,1,1527,-1,0,1445,1.0,QSKX01000001.1,GCA_003469635.1_genomic
AY608696.1.1419,16S_rRNA::QSKZ01000010.1:44-1563(+),99.9,1419,2,0,1,1419,1,1519,-1,0,1419,1.0,QSKZ01000010.1,GCA_003469655.1_genomic
HQ793351.1.1455,16S_rRNA::QSLE01000009.1:14-1539(+),99.0,1455,14,0,1,1455,1,1525,-1,0,1455,1.0,QSLE01000009.1,GCA_003469705.1_genomic
GQ493505.1.1359,16S_rRNA::QSLF01000009.1:3490-5011(-),99.2,1361,9,2,1,1359,1,1521,-1,0,1359,1.0014716703458426,QSLF01000009.1,GCA_003469715.1_genomic
EF402450.1.1486,16S_rRNA::QSKV01000038.1:276-1795(-),99.6,1486,6,0,1,1486,1,1519,-1,0,1486,1.0,QSKV01000038.1,GCA_003470025.1_genomic
CP007646.107249.108765,16S_rRNA::QSLH01000005.1:15787-17344(+),99.9,1517,1,0,1,1517,1,1557,-1,0,1517,1.0,QSLH01000005.1,GCA_003470145.1_genomic
AY981913.1.1349,16S_rRNA::QRIK01000023.1:3573-5098(-),99.1,1359,2,1,1,1349,1,1525,-1,0,1349,1.0074128984432913,QRIK01000023.1,GCA_003470465.1_genomic
CP025401.228528.230064,16S_rRNA::QRIX01000005.1:340526-342064(+),99.9,1538,1,1,1,1537,1,1538,-1,0,1537,1.0006506180871828,QRIX01000005.1,GCA_003470505.1_genomic
FJ558463.1.1408,16S_rRNA::QRHK01000004.1:169-1713(+),99.0,1408,14,0,1,1408,1,1544,-1,0,1408,1.0,QRHK01000004.1,GCA_003470855.1_genomic
BABG01001111.245.1757,16S_rRNA::QRHP01000024.1:51215-52744(+),99.7,1513,4,0,1,1513,1,1529,-1,0,1513,1.0,QRHP01000024.1,GCA_003470885.1_genomic
HG941718.4584016.4585545,16S_rRNA::QRHT01000077.1:45-1583(-),99.9,1530,1,0,1,1530,1,1538,-1,0,1530,1.0,QRHT01000077.1,GCA_003470915.1_genomic
HQ772111.1.1472,16S_rRNA::QRHV01000050.1:149-1687(+),99.0,1472,14,0,1,1472,1,1538,-1,0,1472,1.0,QRHV01000050.1,GCA_003470965.1_genomic
CP027766.3801242.3802763,16S_rRNA::QRIJ01000008.1:185688-187226(+),99.9,1522,2,0,1,1522,1,1538,-1,0,1522,1.0,QRIJ01000008.1,GCA_003471145.1_genomic
AB506232.1.1522,16S_rRNA::QRIL01000017.1:92635-94162(+),99.5,1522,8,0,1,1522,1,1527,-1,0,1522,1.0,QRIL01000017.1,GCA_003471165.1_genomic
EF399604.1.1493,16S_rRNA::QRIN01000067.1:14-1542(-),99.4,1493,9,0,1,1493,1,1528,-1,0,1493,1.0,QRIN01000067.1,GCA_003471195.1_genomic
AB680374.1.1442,16S_rRNA::QRJU01000001.1:229563-231119(+),100.0,1442,0,0,1,1442,1,1556,-1,0,1442,1.0,QRJU01000001.1,GCA_003471685.1_genomic
EF401817.1.1484,16S_rRNA::QRKI01000038.1:752-2271(+),99.6,1484,6,0,1,1484,1,1519,-1,0,1484,1.0,QRKI01000038.1,GCA_003471885.1_genomic
HQ818476.1.1435,16S_rRNA::QRKP01000018.1:55482-57007(-),99.1,1435,13,0,1,1435,1,1525,-1,0,1435,1.0,QRKP01000018.1,GCA_003472025.1_genomic
HQ778643.1.1430,16S_rRNA::QRKS01000027.1:3701-5226(-),99.2,1430,11,0,1,1430,1,1525,-1,0,1430,1.0,QRKS01000027.1,GCA_003472055.1_genomic
AF275894.1.1267,16S_rRNA::QRKU01000004.1:127011-128535(+),99.2,1269,6,4,1,1267,1,1524,-1,0,1267,1.0015785319652724,QRKU01000004.1,GCA_003472095.1_genomic
CP027593.484447.485968,16S_rRNA::QRLO01000003.1:61-1599(+),99.6,1522,6,0,1,1522,1,1538,-1,0,1522,1.0,QRLO01000003.1,GCA_003472255.1_genomic
CP018757.1943194.1944702,16S_rRNA::QRLR01000002.1:3847-5373(-),100.0,1509,0,0,1,1509,1,1526,-1,0,1509,1.0,QRLR01000002.1,GCA_003472345.1_genomic
FJ363012.1.1338,16S_rRNA::QRML01000019.1:88-1613(-),99.0,1338,13,0,1,1338,1,1525,-1,0,1338,1.0,QRML01000019.1,GCA_003472665.1_genomic
