task,source,fid,group,importance,n_folds_nonzero,n_folds_same_sign,n_folds
lodo,attn,EF071257.1.1224,Ctrl,-0.04216697079542952,12,10,13
lodo,attn,DQ803925.1.1280,Ctrl,-0.042047455389606955,11,10,13
lodo,attn,FJ371179.1.1259,Ctrl,-0.04129353880398005,12,10,13
lodo,attn,ACBX02000025.1.1217,Ctrl,-0.04124209224356405,11,8,13
lodo,attn,HM317142.1.1384,Ctrl,-0.040708948481490835,6,4,13
lodo,attn,DQ807031.1.1284,Ctrl,-0.04053058219647207,12,9,13
lodo,attn,DQ809399.1.1289,Ctrl,-0.04029552654481834,11,9,13
lodo,attn,DQ795865.1.1286,Ctrl,-0.04012757848768088,12,9,13
lodo,attn,GQ897435.1.1479,Ctrl,-0.03970987499208187,12,9,13
lodo,attn,JQ186757.1.1359,Ctrl,-0.0378848164311053,10,6,13
lodo,attn,DQ794179.1.1290,Ctrl,-0.03745831714504066,11,7,13
lodo,attn,KM978308.1.1527,Ctrl,-0.037299707826684375,2,1,13
lodo,attn,GQ338715.1.1269,Ctrl,-0.03712639060773126,11,8,13
lodo,attn,DQ796195.1.1288,Ctrl,-0.03643939548398926,12,7,13
lodo,attn,FJ364418.1.1204,Ctrl,-0.036326214935990135,10,9,13
lodo,attn,FJ511828.1.1372,Ctrl,-0.03565222150701992,12,6,13
lodo,attn,HM779421.1.1212,Ctrl,-0.035588234989441046,4,1,13
lodo,attn,GQ897955.1.1488,Ctrl,-0.03555608564282235,2,1,13
lodo,attn,JN657222.1.1286,Ctrl,-0.035489577107084364,10,5,13
lodo,attn,HQ781017.1.1452,Ctrl,-0.03531838315526545,4,2,13
lodo,attn,DQ808480.1.1376,Ctrl,-0.035278262472622376,4,3,13
lodo,attn,HK241304.1.1252,Disease,0.0422369515680096,9,8,13
lodo,attn,FJ558299.1.1272,Disease,0.04243031033281174,6,4,13
lodo,attn,DQ799308.1.1322,Disease,0.042606614455956295,9,6,13
lodo,attn,FJ681503.1.1439,Disease,0.04290646167100395,3,3,13
lodo,attn,JX095988.1.1318,Disease,0.04372378365946846,10,8,13
lodo,attn,JF057160.1.1343,Disease,0.04386528196441814,13,10,13
lodo,attn,KY003111.1.1207,Disease,0.045580760342488494,10,6,13
lodo,attn,JX678705.1.1388,Disease,0.0465783900518143,9,8,13
lodo,attn,FJ364835.1.1389,Disease,0.04721336578056659,5,3,13
lodo,attn,FJ983115.1.1241,Disease,0.047944610835989006,6,4,13
lodo,attn,MH447050.1.1256,Disease,0.048684381239266945,8,6,13
lodo,attn,KF101479.1.1371,Disease,0.04937208850991612,9,6,13
lodo,attn,HQ754370.1.1215,Disease,0.049468815873425116,10,5,13
lodo,attn,HM308748.1.1356,Disease,0.05064069427073399,5,5,13
lodo,attn,DQ795266.1.1352,Disease,0.05085729810303945,13,11,13
lodo,attn,JQ455437.1.1278,Disease,0.05120672307285522,10,6,13
lodo,attn,JQ467788.1.1220,Disease,0.05253390103029054,10,7,13
lodo,attn,FJ557746.1.1357,Disease,0.05276664283818567,2,2,13
lodo,attn,LT576391.1.1479,Disease,0.053197659357588925,12,12,13
lodo,attn,KF101798.1.1358,Disease,0.05550119151991854,8,6,13
lodo,attn,KX881777.1.1230,Disease,0.05578665847201024,12,11,13
lodo,attn,EF401863.1.1477,Disease,0.05887223454288948,12,10,13
lodo,attn,AY985264.1.1386,Disease,0.06014652221134713,5,3,13
lodo,attn,D89330.1.1512,Disease,0.0620976815165335,3,3,13
lodo,attn,FJ558238.1.1275,Disease,0.06329611674416548,3,2,13
lodo,attn,JX095999.1.1410,Disease,0.0639238090076894,5,5,13
lodo,attn,JQ449887.1.1241,Disease,0.06548528457751299,13,7,13
lodo,attn,AJ234058.1.1367,Disease,0.06598213961719801,5,3,13
lodo,attn,FJ557765.1.1386,Disease,0.06719740299630413,6,4,13
lodo,attn,AB733112.1.1328,Disease,0.06846655239742536,6,5,13
lodo,attn,JQ470107.1.1403,Disease,0.07308138792795935,6,4,13
lodo,attn,FJ558058.1.1360,Disease,0.07516707372386652,1,1,13
lodo,attn,LC190799.1.1211,Disease,0.07629660686573071,2,2,13
lodo,attn,FJ557701.1.1386,Disease,0.0782970509388572,12,11,13
lodo,attn,MH337931.1.1279,Disease,0.08609709457072208,5,3,13
lodo,attn,GQ491160.1.1334,Disease,0.08712075447448929,10,7,13
lodo,attn,MH685147.1.1453,Disease,0.08725473645056393,8,8,13
lodo,attn,MG245801.1.1200,Disease,0.08910789623124679,11,10,13
lodo,attn,AF338413.1.1408,Disease,0.09799327380431233,12,9,13
lodo,attn,JN004064.1.1431,Disease,0.10538622924547474,9,8,13
lodo,attn,AM943044.1.1276,Disease,0.10716506334197842,2,2,13
lodo,attn,FJ975930.1.1341,Disease,0.10952781815065103,1,1,13
lodo,attn,KF084610.1.1355,Disease,0.11301791287650795,9,8,13
lodo,attn,FJ558430.1.1233,Disease,0.12049134317696088,7,4,13
lodo,attn,JX096007.1.1204,Disease,0.1252413425976256,10,8,13
lodo,attn,FJ557734.1.1287,Disease,0.15913130398846143,13,8,13
lodo,attn,EF519868.1.1382,Disease,0.19557821998386468,7,7,13
lodo,attn,JQ467142.1.1299,Disease,0.21366235099810055,11,9,13
lodo,attn,MH813973.1.1314,Disease,0.2659096343746881,10,9,13
lodo,attn,JQ467804.1.1375,Disease,0.2790721238118015,13,12,13
