	Aerobic	Anaerobic	Contains_Mobile_Elements	Facultatively_Anaerobic	Forms_Biofilms	Gram_Negative	Gram_Positive	Potentially_Pathogenic	Stress_Tolerant
HK241308.1.1550	1	0	0.00862069	0	0.0	0	1	0.00729927	0.016949153
AY211542.1.1343	0	1	0.004310345	0	0.0	1	0	0.01459854	0.016949153
AB030220.1.1486	0	0	0.00862069	1	0.0	0	1	0.00729927	0.016949153
AJ518871.1.1462	0	1	0.004310345	0	0.0	0	1	0.0	0.016949153
FJ225426.1.1443	0	1	0.0	0	0.029411765	1	0	0.00729927	0.0
AJ518873.1.1461	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
EU484334.1.1464	1	0	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
AJ558133.1.1467	1	0	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
AB009222.1.1414	0	0	0.00862069	1	0.0	0	1	0.00729927	0.016949153
AJ576075.1.1341	1	0	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
Y09655.1.1468	0	0	0.025862069	0	0.029411765	0	1	0.01459854	0.016949153
Y09911.1.1476	0	0	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
AY239461.1.1420	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
Y18188.1.1489	0	0	0.00862069	1	0.0	0	1	0.00729927	0.016949153
Y17318.1.1501	0	1	0.00862069	0	0.0	0	1	0.00729927	0.016949153
AY258614.1.1402	0	0	0.012931034	1	0.0	0	1	0.01459854	0.016949153
Y18355.1.1409	0	0	0.043103448	0	0.0	0	1	0.00729927	0.016949153
AJ697609.1.1517	1	0	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
Z15062.1.1461	1	0	0.004310345	0	0.0	1	0	0.0	0.016949153
Y13365.1.1508	0	0	0.00862069	0	0.0	0	1	0.00729927	0.016949153
AY267190.1.1401	0	1	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
FP929032.881290.882801	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
FP929041.134513.136043	0	1	0.00862069	0	0.0	0	1	0.00729927	0.016949153
JQ780830.1.1329	1	0	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
FP929059.2595678.2597174	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
EU728720.1.1429	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
EU728724.1.1426	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
AB185810.1.1527	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
FJ557000.1.1453	1	0	0.00862069	0	0.0	0	1	0.00729927	0.016949153
HM007583.1.1345	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
AB185776.1.1501	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
GQ864252.1.1491	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
HM007578.1.1344	0	1	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
HM007590.1.1365	1	0	0.00862069	0	0.0	0	1	0.00729927	0.016949153
HM007565.1.1329	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
GQ871732.1.1491	0	1	0.012931034	0	0.0	1	0	0.01459854	0.016949153
GQ871710.1.1495	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
GQ871722.1.1492	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
GQ871721.1.1492	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
GQ867494.1.1452	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
GQ871708.1.1489	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
GQ871718.1.1500	0	0	0.00862069	1	0.0	0	1	0.00729927	0.016949153
GQ871735.1.1478	0	1	0.00862069	0	0.0	0	1	0.01459854	0.016949153
GQ871724.1.1491	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
FR667185.1.1486	0	1	0.00862069	0	0.0	0	1	0.01459854	0.016949153
JQ186433.1.1345	0	1	0.00862069	0	0.0	0	1	0.0	0.016949153
JQ186465.1.1335	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
HM037995.1.1446	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
GQ871738.1.1486	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
AB218300.1.1457	0	1	0.00862069	0	0.0	0	1	0.0	0.016949153
AB234418.1.1355	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ186540.1.1367	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ186564.1.1345	0	0	0.0	0	0.029411765	1	0	0.0	0.0
AB218325.1.1438	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
FR733677.1.1497	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
JQ186600.1.1362	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
FJ711049.1.1454	0	1	0.00862069	0	0.0	0	1	0.0	0.016949153
JQ186645.1.1362	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ186574.1.1364	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ186732.1.1354	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ186716.1.1366	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
EU928746.1.1484	1	0	0.0	0	0.0	1	0	0.00729927	0.0
JQ186757.1.1359	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ186811.1.1365	0	1	0.012931034	0	0.0	1	0	0.01459854	0.016949153
JQ186806.1.1361	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
EU909656.1.1362	0	0	0.004310345	1	0.176470588	1	0	0.065693431	0.186440678
AB255081.1.1485	0	1	0.00862069	0	0.0	0	1	0.01459854	0.016949153
AB264073.1.1456	0	1	0.004310345	0	0.0	0	1	0.0	0.016949153
AB264082.1.1445	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
JQ186855.1.1332	0	1	0.00862069	0	0.0	1	0	0.01459854	0.016949153
AB264066.1.1465	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
JQ186910.1.1359	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ186905.1.1365	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ186916.1.1366	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ186936.1.1363	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ186941.1.1365	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
AY326462.1.1473	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
JQ186988.1.1357	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
EF185167.1.1497	0	1	0.004310345	0	0.0	1	0	0.01459854	0.016949153
EF187228.1.1400	1	0	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
L16465.1.1473	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
L16475.1.1471	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
L34682.1.1486	0	0	0.00862069	1	0.0	0	1	0.00729927	0.016949153
JQ187053.1.1362	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
AB288920.1.1350	0	0	0.00862069	1	0.0	0	1	0.00729927	0.016949153
L16498.1.1472	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
L34617.1.1490	0	1	0.00862069	0	0.0	0	1	0.00729927	0.016949153
JQ248601.165626.167114	0	0	0.004310345	0	0.0	1	0	0.00729927	0.016949153
AY362904.1.1362	0	0	0.012931034	1	0.029411765	1	0	0.080291971	0.169491525
JQ187174.1.1376	0	0	0.237068966	1	0.058823529	1	0	0.255474453	0.525423729
JQ187318.1.1372	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
AB108825.1.1490	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ187284.1.1353	0	0	0.00862069	1	0.0	0	1	0.00729927	0.016949153
JQ187390.1.1362	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ187438.1.1368	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ187338.1.1362	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
JQ187269.1.1360	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ187668.1.1332	0	1	0.004310345	0	0.0	0	1	0.0	0.016949153
JQ187766.1.1332	0	1	0.004310345	0	0.0	0	1	0.0	0.016949153
JQ187756.1.1354	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
JQ188014.1.1363	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
JQ188269.1.1325	0	0	0.004310345	0	0.029411765	1	0	0.00729927	0.016949153
JQ187801.1.1343	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
JQ188145.1.1334	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
JQ188425.1.1330	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
JQ188245.1.1340	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
JQ188335.1.1350	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
JQ188466.1.1374	0	0	0.00862069	1	0.0	0	1	0.00729927	0.016949153
JQ188404.1.1363	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ188330.1.1355	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
JQ188632.1.1349	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
JQ188433.1.1358	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ188942.1.1364	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ188913.1.1377	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ189008.1.1369	0	0	0.081896552	1	0.205882353	1	0	0.270072993	0.762711864
HQ283402.1.1494	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
JQ189107.1.1359	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
JQ188762.1.1359	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
GQ896835.1.1490	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
JQ189051.1.1363	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
GQ896902.1.1482	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
JQ189241.1.1358	0	0	0.00862069	1	0.0	0	1	0.00729927	0.016949153
JQ189246.1.1332	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
GQ897093.1.1492	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
HM099653.1.1384	1	0	0.012931034	0	0.058823529	1	0	0.00729927	0.016949153
JQ189299.1.1362	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
GQ897174.1.1458	0	0	0.00862069	1	0.0	0	1	0.00729927	0.016949153
GQ897335.1.1487	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
GQ897259.1.1487	0	1	0.00862069	0	0.0	0	1	0.01459854	0.016949153
GQ897367.1.1479	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
GQ897435.1.1479	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
GQ897566.1.1496	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
GQ897679.1.1458	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
GQ897911.1.1486	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
GQ897847.1.1495	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
FM995533.1.1388	1	0	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
GQ898015.1.1476	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
JQ189620.1.1370	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ189608.1.1364	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
GQ898038.1.1495	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
JQ189739.1.1362	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
FN178464.1.1428	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
JQ189795.1.1366	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ189721.1.1365	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ190044.1.1364	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ189863.1.1338	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
GQ898637.1.1476	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
GQ898643.1.1489	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
JQ189945.1.1354	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
JQ189918.1.1366	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ190041.1.1363	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ190077.1.1356	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
JQ190124.1.1360	0	1	0.012931034	0	0.0	1	0	0.01459854	0.016949153
JQ190005.1.1356	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
JQ190135.1.1353	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ190020.1.1395	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
JQ190136.1.1372	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ190214.1.1395	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
GU045364.1.1452	0	0	0.043103448	1	0.0	0	1	0.00729927	0.016949153
JQ190022.1.1366	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ190226.1.1359	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ190269.1.1354	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ190296.1.1392	1	0	0.00862069	0	0.0	0	1	0.00729927	0.016949153
JQ190288.1.1362	0	1	0.00862069	0	0.0	0	1	0.0	0.016949153
JQ190319.1.1350	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
EF529620.1.1456	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
JQ190417.1.1346	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
JQ190467.1.1351	0	1	0.00862069	0	0.0	0	1	0.0	0.016949153
JQ190505.1.1331	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
AM419461.1.1482	1	0	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
JQ190528.1.1356	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
JQ190553.1.1364	0	1	0.00862069	0	0.0	0	1	0.0	0.016949153
FN297835.1.1455	1	0	0.012931034	0	0.058823529	1	0	0.00729927	0.016949153
JQ190636.1.1334	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
JQ190673.1.1341	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
JQ190674.1.1353	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ190750.1.1364	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ190810.1.1343	0	0	0.004310345	0	0.0	1	0	0.0	0.0
JQ190882.1.1331	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
HQ436501.1.1448	1	0	0.0	0	0.029411765	1	0	0.01459854	0.016949153
JQ190973.1.1344	1	0	0.004310345	0	0.0	1	0	0.00729927	0.0
JQ190854.1.1350	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
JQ190867.1.1333	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
HQ452862.1.1498	0	1	0.00862069	0	0.0	0	1	0.00729927	0.016949153
AC145820.26622.28093	0	0	0.004310345	0	0.0	1	0	0.00729927	0.016949153
HQ452860.1.1480	0	0	0.00862069	1	0.0	0	1	0.00729927	0.016949153
JQ191045.1.1353	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
HM212668.1.1457	1	0	0.004310345	0	0.029411765	1	0	0.02919708	0.06779661
JQ191036.1.1354	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
JQ191037.1.1327	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
JQ191043.1.1347	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
JQ191047.1.1363	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
JQ191049.1.1327	1	0	0.00862069	0	0.029411765	0	1	0.0	0.016949153
JQ191071.1.1358	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JQ191099.1.1400	0	1	0.012931034	0	0.0	0	1	0.00729927	0.016949153
JQ191100.1.1399	0	1	0.012931034	0	0.0	0	1	0.00729927	0.016949153
JQ191112.1.1375	0	1	0.004310345	0	0.0	0	1	0.0	0.016949153
JQ191124.1.1356	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
JQ191119.1.1352	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
JQ191107.1.1383	0	1	0.004310345	0	0.0	1	0	0.01459854	0.016949153
JQ191144.1.1308	1	0	0.004310345	0	0.029411765	1	0	0.00729927	0.0
JQ191130.1.1351	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
JQ191110.1.1335	0	1	0.004310345	0	0.0	0	1	0.0	0.016949153
JQ191035.1.1354	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
JQ191113.1.1361	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
JQ191131.1.1350	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
JQ191126.1.1351	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
JQ191129.1.1352	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
JQ191139.1.1366	1	0	0.030172414	0	0.029411765	1	0	0.03649635	0.084745763
JQ191142.1.1334	1	0	0.004310345	0	0.029411765	1	0	0.0	0.016949153
JQ191054.1.1334	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
JQ191128.1.1335	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
JQ191146.1.1321	0	0	0.004310345	0	0.029411765	1	0	0.00729927	0.016949153
JQ191141.1.1357	0	1	0.0	0	0.029411765	1	0	0.01459854	0.0
JQ191104.1.1350	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
JQ191125.1.1355	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
JQ191145.1.1323	0	0	0.004310345	0	0.029411765	1	0	0.00729927	0.016949153
EF680886.1.1412	1	0	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
EF694029.1.1433	0	0	0.043103448	0	0.0	0	1	0.00729927	0.016949153
AM886059.1.1431	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
AB200414.1.1491	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
AB494814.1.1500	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
HK693446.10.1506	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
AB220083.1.1360	0	0	0.012931034	1	0.058823529	1	0	0.0	0.033898305
GQ921467.1.1497	0	0	0.081896552	1	0.205882353	1	0	0.270072993	0.762711864
AB506185.1.1506	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
AB506232.1.1522	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
AB506266.1.1511	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
AB506166.1.1495	0	1	0.00862069	0	0.0	0	1	0.00729927	0.016949153
AB506192.1.1523	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
AB506139.1.1558	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
AB506172.1.1523	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
AB506369.1.1506	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
AB506188.1.1515	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
AB506279.1.1563	0	1	0.012931034	0	0.0	0	1	0.00729927	0.016949153
AB506315.1.1513	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
AB506424.1.1522	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
AB506372.1.1510	0	1	0.00862069	0	0.0	0	1	0.0	0.016949153
AB506388.1.1517	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
AB506253.1.1527	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
AB506348.1.1522	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
AB506250.1.1525	0	0	0.004310345	0	0.0	0	1	0.0	0.016949153
AB506382.1.1509	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
AB506381.1.1523	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
AB506371.1.1509	0	1	0.004310345	0	0.0	0	1	0.0	0.016949153
AB506360.1.1531	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
AB506413.1.1616	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
GU361827.1.1480	0	1	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
GU361819.1.1483	0	1	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
AB506227.1.1518	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
KC796791.1.1216	1	0	0.004310345	0	0.029411765	1	0	0.04379562	0.271186441
AB509211.1.1451	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
AB506361.1.1516	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
JX101690.1.1488	0	0	0.00862069	1	0.0	0	1	0.00729927	0.016949153
AM944737.1.1462	0	0	0.043103448	0	0.0	0	1	0.00729927	0.016949153
AM982792.1.1317	0	0	0.0	0	0.0	1	0	0.01459854	0.0
AY574991.1.1453	0	1	0.004310345	0	0.0	0	1	0.0	0.016949153
EU136682.1.1435	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
HM443959.1.1432	0	0	0.00862069	1	0.0	0	1	0.00729927	0.016949153
EU156757.1.1329	0	0	0.043103448	1	0.0	0	1	0.00729927	0.016949153
EU156766.1.1269	0	0	0.043103448	1	0.0	0	1	0.00729927	0.016949153
EU156772.1.1329	0	0	0.043103448	1	0.0	0	1	0.00729927	0.016949153
AB267809.1.1461	0	1	0.012931034	0	0.0	1	0	0.01459854	0.016949153
HQ877677.1.1435	0	1	0.00862069	0	0.0	0	1	0.0	0.016949153
HW066283.1.1483	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
AB286023.1.1473	1	0	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
EU214627.1.1520	0	0	0.004310345	1	0.0	0	1	0.01459854	0.016949153
AB300989.1.1489	1	0	0.030172414	0	0.029411765	1	0	0.03649635	0.06779661
HM596293.1.1499	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
JF340474.1.1407	0	1	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
AB331897.1.1481	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
AB698720.1.1455	0	0	0.012931034	1	0.058823529	1	0	0.0	0.033898305
AP010969.19547.20881	0	0	0.043103448	1	0.0	0	1	0.00729927	0.016949153
FJ833196.1.1388	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
JX294354.1.1467	0	0	0.004310345	0	0.0	1	0	0.01459854	0.0
JX294356.1.1463	0	0	0.004310345	0	0.0	1	0	0.01459854	0.0
AB559621.1.1499	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
AB559618.1.1515	0	1	0.004310345	0	0.0	0	1	0.01459854	0.016949153
HZ486581.1.1337	0	1	0.004310345	0	0.0	1	0	0.0	0.0
JF443769.1.1385	1	0	0.004310345	0	0.029411765	1	0	0.00729927	0.016949153
AB438958.1.1532	1	0	0.004310345	0	0.029411765	1	0	0.02919708	0.06779661
AB443949.1.1486	0	1	0.012931034	0	0.0	1	0	0.01459854	0.016949153
AB443948.1.1484	0	1	0.012931034	0	0.0	1	0	0.01459854	0.016949153
JF506640.1.1362	0	1	0.043103448	0	0.029411765	1	0	0.051094891	0.13559322
AB470329.1.1491	0	1	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
AB480534.1.1481	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
AP012211.1087525.1089021	0	0	0.00862069	0	0.029411765	0	1	0.0	0.016949153
AB490801.1.1479	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
AB491210.1.1485	1	0	0.030172414	0	0.029411765	1	0	0.03649635	0.06779661
AB490806.1.1463	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
AB521998.1.1477	1	0	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
JF747609.1.1267	1	0	0.004310345	0	0.0	1	0	0.00729927	0.0
AB547676.1.1493	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
AB547668.1.1490	0	1	0.012931034	0	0.0	1	0	0.01459854	0.016949153
AB548674.1.1491	0	1	0.012931034	0	0.0	1	0	0.01459854	0.016949153
AB547677.1.1479	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
AB547651.1.1480	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
AB547670.1.1491	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
AP013105.452097.453554	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
AB554231.1.1489	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
AB566418.1.1473	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
AB574481.1.1484	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
JX657043.1.1256	1	0	0.0	0	0.0	1	0	0.00729927	0.016949153
AB574480.1.1486	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
AB741688.1.1324	0	0	0.081896552	1	0.205882353	1	0	0.270072993	0.762711864
AB574479.1.1484	0	1	0.0	0	0.0	1	0	0.01459854	0.016949153
