"","results.valid_p","q_value","LR_stat","ko","ko_descript"
"25",1.0690209816018e-11,1.41923225517455e-09,225.633715994999,"K07271","licD; lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-]"
"26",2.33523024320124e-11,2.98101122199420e-09,222.890031467763,"K06221","dkgA; 2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]"
"27",2.48960720417812e-11,3.06037270765451e-09,222.66414508019,"K14623","dinD; DNA-damage-inducible protein D"
"28",3.00385677500139e-11,3.56064308436772e-09,222.000569045999,"K19271","catA; chloramphenicol O-acetyltransferase type A [EC:2.3.1.28]"
"29",4.28045548773775e-11,4.89890750475918e-09,220.744910910377,"K07727","K07727; putative transcriptional regulator"
"30",6.92054914201532e-11,7.65643420078295e-09,219.032863679223,"K00140","mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]"
"31",7.96915693557433e-11,8.48414305343091e-09,218.528164028688,"K03827","yjaB; putative acetyltransferase [EC:2.3.1.-]"
"32",8.17995112111446e-11,8.48414305343091e-09,218.434671326928,"K03781","katE, CAT, catB, srpA; catalase [EC:1.11.1.6]"
"33",9.97434729745906e-11,1.00317753576566e-08,217.723426207602,"K03574","mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]"
"34",1.89188503958323e-10,1.84681366069905e-08,215.415343606307,"K07154","hipA; serine/threonine-protein kinase HipA [EC:2.7.11.1]"
"35",3.34191848343656e-10,3.16909355615027e-08,213.347403582415,"K01791","wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]"
"36",5.83088831688499e-10,5.37575508992814e-08,211.308684756952,"K01190","lacZ; beta-galactosidase [EC:3.2.1.23]"
"37",6.17999753790869e-10,5.54362481846458e-08,211.094787605127,"K09780","K09780; uncharacterized protein"
"38",7.23779779231351e-10,6.32164496649698e-08,210.512698015111,"K25148","berA; beta-exotoxin I transport system ATP-binding protein"
"39",8.82354958881646e-10,7.39856953198669e-08,209.780974877485,"K06188","aqpZ; aquaporin Z"
"40",8.91662492556395e-10,7.39856953198669e-08,209.742158692117,"K21745","adhR; MerR family transcriptional regulator, aldehyde-responsive regulator"
"41",9.58771575947343e-10,7.76137283065666e-08,209.473566709458,"K06926","K06926; uncharacterized protein"
"42",1.94118911789244e-09,1.53400159102024e-07,206.847498697634,"K07496","K07496; putative transposase"
"43",2.52821563511604e-09,1.95142969603491e-07,205.856645705341,"K07217","ydbD; manganese catalase [EC:1.11.1.6]"
"44",3.10370128816878e-09,2.34117831259823e-07,205.084740133172,"K07473","dinJ; DNA-damage-inducible protein J"
"45",4.84124770707288e-09,3.57068914217219e-07,203.402760171082,"K25147","berB; beta-exotoxin I transport system permease protein"
"46",5.67727398696661e-09,4.09627660059612e-07,202.797139110482,"K20487","nisK, spaK; two-component system, OmpR family, lantibiotic biosynthesis sensor histidine kinase NisK/SpaK [EC:2.7.13.3]"
"47",6.72062081574795e-09,4.74590223137605e-07,202.154011258133,"K00433","cpo; non-heme chloroperoxidase [EC:1.11.1.10]"
"48",6.94341484932883e-09,4.80108205935883e-07,202.029481029792,"K03325","ACR3, arsB; arsenite transporter"
"49",7.634439731931e-09,5.17116438168959e-07,201.666821709236,"K07284","srtA; sortase A [EC:3.4.22.70]"
"50",9.37434099510541e-09,6.22268755255097e-07,200.880063445229,"K07149","K07149; uncharacterized protein"
"51",1.05008296385058e-08,6.83377520984325e-07,200.444026287381,"K00571","E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]"
"52",1.35518644649935e-08,8.64973810756028e-07,199.460815204734,"K24119","ahpC; NADH-dependent peroxiredoxin subunit C [EC:1.11.1.26]"
"53",1.49446552592351e-08,9.35873788781154e-07,199.082556276968,"K07486","K07486; transposase"
"54",1.66621894515008e-08,1.02283526522196e-06,198.661161170336,"K01854","glf; UDP-galactopyranose mutase [EC:5.4.99.9]"
"55",1.69496654375438e-08,1.02283526522196e-06,198.594826633074,"K06223","dam; DNA adenine methylase [EC:2.1.1.72]"
"56",2.63948115149758e-08,1.56436391818222e-06,196.870161721772,"K01077","E3.1.3.1, phoA, phoB; alkaline phosphatase [EC:3.1.3.1]"
"57",2.88233395013471e-08,1.67832743517493e-06,196.525777814006,"K07491","rayT; REP-associated tyrosine transposase"
"58",3.58524323767317e-08,2.05162453548918e-06,195.669514552461,"K07458","vsr; DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-]"
"59",3.65250750847407e-08,2.05469024078397e-06,195.596420467108,"K04047","dps; starvation-inducible DNA-binding protein"
"60",5.94292381314432e-08,3.287427355971e-06,193.672963697321,"K09951","cas2; CRISPR-associated protein Cas2"
"61",6.07228997332801e-08,3.30392301991404e-06,193.58745690088,"K10804","tesA; acyl-CoA thioesterase I [EC:3.1.2.- 3.1.2.2 3.1.1.2 3.1.1.5]"
"62",7.8865873518846e-08,4.22186829369435e-06,192.546525380749,"K04750","phnB; PhnB protein"
"63",8.87985103758064e-08,4.67813104662383e-06,192.072426781435,"K07734","paiB; transcriptional regulator"
"64",1.21326041477797e-07,6.2918926822626e-06,190.819560224496,"K07118","K07118; uncharacterized protein"
"65",1.33475275663976e-07,6.81545292198058e-06,190.434868721554,"K13653","K13653; AraC family transcriptional regulator"
"66",1.42470364355685e-07,7.1645324135836e-06,190.171542002845,"K14060","pinR; putative DNA-invertase from lambdoid prophage Rac"
"67",1.77888782209809e-07,8.81213236051276e-06,189.272381834239,"K05946","tagA, tarA; N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]"
"68",2.22507055229221e-07,1.08165642860833e-05,188.361728080617,"K07552","bcr, tcaB; MFS transporter, DHA1 family, multidrug resistance protein"
"69",2.24869820952018e-07,1.08165642860833e-05,188.318638907295,"K09790","K09790; uncharacterized protein"
"70",2.4175820677034e-07,1.14627926895823e-05,188.022963628471,"K00848","rhaB; rhamnulokinase [EC:2.7.1.5]"
"71",3.67815066797154e-07,1.70301157760109e-05,186.300263026558,"K08217","mef; MFS transporter, DHA3 family, macrolide efflux protein"
"72",3.69439088843863e-07,1.70301157760109e-05,186.282091587097,"K01711","gmd, GMDS; GDPmannose 4,6-dehydratase [EC:4.2.1.47]"
"73",3.87127250382468e-07,1.76010321098549e-05,186.089081455186,"K00020","HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]"
"74",3.94039818380606e-07,1.76732183406112e-05,186.015986177347,"K00766","trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]"
"75",4.46650241641943e-07,1.97657620267948e-05,185.497551436898,"K06911","PIR; quercetin 2,3-dioxygenase [EC:1.13.11.24]"
"76",4.63382256243807e-07,2.02363909009631e-05,185.345133278436,"K09958","K09958; uncharacterized protein"
"77",4.73310674089367e-07,2.04015341208131e-05,185.257213741378,"K03292","TC.GPH; glycoside/pentoside/hexuronide:cation symporter, GPH family"
"78",5.5223289432329e-07,2.34982176443461e-05,184.616337921501,"K00013","hisD; histidinol dehydrogenase [EC:1.1.1.23]"
"79",5.92148537631913e-07,2.48777341316496e-05,184.325565820572,"K08995","K08995; putative membrane protein"
"80",6.18795178547359e-07,2.56722649699835e-05,184.141922939778,"K07459","ybjD; putative ATP-dependent endonuclease of the OLD family"
"81",6.37763394445065e-07,2.61325519279404e-05,184.015843902639,"K00048","fucO; lactaldehyde reductase [EC:1.1.1.77]"
"82",6.48868560924659e-07,2.62633506549871e-05,183.943717916067,"K03321","TC.SULP; sulfate permease, SulP family"
"83",6.8791455199424e-07,2.75082939526371e-05,183.699352396295,"K21744","tipA; MerR family transcriptional regulator, thiopeptide resistance regulator"
"84",8.20960624154595e-07,3.24377179948702e-05,182.957867440057,"K01442","cbh; choloylglycine hydrolase [EC:3.5.1.24]"
"85",8.87537968445244e-07,3.46557472619972e-05,182.629852944315,"K11741","sugE; quaternary ammonium compound-resistance protein SugE"
"86",1.14606293132866e-06,4.42300333613933e-05,181.550078419914,"K21062","lhpC; 1-pyrroline-4-hydroxy-2-carboxylate deaminase [EC:3.5.4.22]"
"87",1.24795190713459e-06,4.76086480434448e-05,181.188799592669,"K17836","penP; beta-lactamase class A [EC:3.5.2.6]"
"88",1.48092379984093e-06,5.58543874053641e-05,180.460408862335,"K01804","araA; L-arabinose isomerase [EC:5.3.1.4]"
"89",1.63703272247745e-06,6.10484450101423e-05,180.03243981337,"K04085","tusA, sirA; tRNA 2-thiouridine synthesizing protein A [EC:2.8.1.-]"
"90",1.65630305487817e-06,6.10807759904518e-05,179.98239306485,"K26606","azlD, brnE; branched chain amino acid efflux pump"
"91",2.06865405798684e-06,7.54490419610806e-05,179.028781743936,"K07222","K07222; putative flavoprotein involved in K+ transport"
"92",2.12769197385576e-06,7.67588006655139e-05,178.907677705234,"K18344","vanRB, vanR, vanRD; two-component system, OmpR family, response regulator VanR"
"93",2.20148854465608e-06,7.85671019324037e-05,178.76081852497,"K02315","dnaC; DNA replication protein DnaC"
"94",2.47381953996954e-06,8.73468835442435e-05,178.257456756994,"K07741","antB; anti-repressor protein"
"95",2.74674814963919e-06,9.5962706406868e-05,177.804432983478,"K03824","yhbS; putative acetyltransferase [EC:2.3.1.-]"
"96",2.95239391348712e-06,0.000102072868738164,177.491151335292,"K07127","uraH, pucM, hiuH; 5-hydroxyisourate hydrolase [EC:3.5.2.17]"
"97",3.09955422369775e-06,0.00010605588111807,177.27973678417,"K13993","HSP20; HSP20 family protein"
"98",3.18882535264855e-06,0.000107997054545312,177.156194674314,"K23775","ohrR; MarR family transcriptional regulator, organic hydroperoxide resistance regulator"
"99",3.22212283838944e-06,0.000108022481824389,177.1109738175,"K13877","aldH; 2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]"
"100",3.79738922388624e-06,0.000126035348340784,176.394111163519,"K02027","ABC.MS.S; multiple sugar transport system substrate-binding protein"
"101",4.01803109479196e-06,0.000130904784680634,176.146887355139,"K13921","pduQ; 1-propanol dehydrogenase"
"102",4.0229852477929e-06,0.000130904784680634,176.141489130898,"K05520","yhbO; deglycase [EC:3.5.1.124]"
"103",4.18457548568851e-06,0.000133839940433474,175.968866031458,"K07483","K07483; transposase"
"104",4.1938396520281e-06,0.000133839940433474,175.959166692576,"K00297","metF, MTHFR; methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]"
"105",4.41748954526191e-06,0.000139634740959279,175.731117879391,"K03741","arsC; arsenate reductase (thioredoxin) [EC:1.20.4.4]"
"106",4.94490394206943e-06,0.0001548314734314,175.234892595728,"K05937","K05937; uncharacterized protein"
"107",5.20812411976158e-06,0.000161032506912838,175.006172908767,"K01029","scoB; 3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]"
"108",5.23998516016467e-06,0.000161032506912838,174.979253187418,"K07005","K07005; uncharacterized protein"
"109",5.36454431744866e-06,0.000163347913666166,174.875515213497,"K07729","K07729; putative transcriptional regulator"
"110",5.42109989139268e-06,0.000163569368541203,174.829183181581,"K22212","mleA, mleS; malolactic enzyme [EC:4.1.1.101]"
"111",5.58769142721814e-06,0.000167077007630063,174.695384337069,"K07305","msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]"
"112",5.69161157480665e-06,0.000168664810864136,174.613868044228,"K02500","hisF; imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]"
"113",5.99384070661976e-06,0.000176049179692664,174.384755554932,"K05306","phnX; phosphonoacetaldehyde hydrolase [EC:3.11.1.1]"
"114",6.18671406665472e-06,0.000180120210414272,174.244333561794,"K06123","AYR1; 1-acylglycerone phosphate reductase [EC:1.1.1.101]"
"115",6.46447444480589e-06,0.000186570353759224,174.049399725952,"K02099","araC; AraC family transcriptional regulator, arabinose operon regulatory protein"
"116",6.60099568633857e-06,0.000188868143818601,173.95654873388,"K07493","K07493; putative transposase"
"117",6.66515087862547e-06,0.000189073809967162,173.913557174013,"K03502","umuC; DNA polymerase V"
"118",6.8974861941175e-06,0.000194006412527763,173.761155223557,"K00765","hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]"
"119",7.27608839516051e-06,0.000202935608265023,173.523168267586,"K18369","adh2; alcohol dehydrogenase [EC:1.1.1.-]"
"120",7.35121882517045e-06,0.000203322460672839,173.477373462596,"K01470","E3.5.2.10; creatinine amidohydrolase [EC:3.5.2.10]"
"121",9.69014465859795e-06,0.000265798265470137,172.240536739316,"K01207","nagZ; beta-N-acetylhexosaminidase [EC:3.2.1.52]"
"122",1.01982891590942e-05,0.000277443620647816,172.010543674381,"K01760","metC; cysteine-S-conjugate beta-lyase [EC:4.4.1.13]"
"123",1.0734962051503e-05,0.000289669423162102,171.779393447917,"K01246","tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20]"
"124",1.16981676635268e-05,0.000313114665122947,171.391281506851,"K07318","K07318; adenine-specific DNA-methyltransferase [EC:2.1.1.72]"
"125",1.23970257670512e-05,0.000329165828166744,171.12860055159,"K05995","pepE; dipeptidase E [EC:3.4.13.21]"
"126",1.30132734211364e-05,0.000342786146704379,170.908604511282,"K26605","azlC, brnF; branched chain amino acid efflux pump"
"127",1.35450137776295e-05,0.000353983470298836,170.726736223604,"K15915","pglC; undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase [EC:2.7.8.36]"
"128",1.47498954753984e-05,0.00037958073261803,170.338966302181,"K03297","emrE, qac, mmr, smr; small multidrug resistance pump"
"129",1.49034757895145e-05,0.00037958073261803,170.291758674915,"K06954","K06954; uncharacterized protein"
"130",1.49034757895145e-05,0.00037958073261803,170.291758674915,"K09701","K09701; uncharacterized protein"
"131",1.49819451560596e-05,0.00037958073261803,170.267820078114,"K00145","argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]"
"132",1.84318985581147e-05,0.000463450540260475,169.319823909661,"K07407","E3.2.1.22B, galA, rafA; alpha-galactosidase [EC:3.2.1.22]"
"133",2.12588794479699e-05,0.000530512939006107,168.663283403707,"K00449","pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]"
"134",2.18812627727205e-05,0.000541969486139248,168.530129623352,"K01684","dgoD; galactonate dehydratase [EC:4.2.1.6]"
"135",2.43724102924648e-05,0.00059920022044956,168.03143830406,"K19545","lnuA_C_D_E, lin; lincosamide nucleotidyltransferase A/C/D/E"
"136",2.52046922340175e-05,0.000615105687681647,167.875755413374,"K07667","kdpE; two-component system, OmpR family, KDP operon response regulator KdpE"
"137",2.57753334525932e-05,0.000624440377585087,167.771856412442,"K01657","trpE; anthranilate synthase component I [EC:4.1.3.27]"
"138",2.68338385095715e-05,0.00064537326096571,167.584878025726,"K07093","K07093; uncharacterized protein"
"139",2.80794284823407e-05,0.000670472108869702,167.373762351462,"K06905","D; Bacteriophage probable baseplate hub protein"
"140",3.05068714679853e-05,0.000723230760016022,166.987105563731,"K23518","MACROD, ymdB; O-acetyl-ADP-ribose deacetylase [EC:3.1.1.106]"
"141",3.10414371080689e-05,0.000730684608238869,166.905955881031,"K07304","msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]"
"142",3.45609634501668e-05,0.00080780167388101,166.403109394508,"K23107","yajO; 1-deoxyxylulose-5-phosphate synthase [EC:1.1.-.-]"
"143",3.49919516483895e-05,0.000810325415228091,166.344960922246,"K07112","K07112; uncharacterized protein"
"144",3.51572340442438e-05,0.000810325415228091,166.322844196606,"K00481","pobA; p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2]"
"145",3.559706495075e-05,0.000814804541872685,166.264474371293,"K11709","troD, mntD, znuB; manganese/zinc/iron transport system permease protein"
"146",3.69416034388422e-05,0.000839788916530941,166.090257342625,"K01992","ABC-2.P; ABC-2 type transport system permease protein"
"147",3.82817922757528e-05,0.000864335160294038,165.922582855313,"K15342","cas1; CRISP-associated protein Cas1"
"148",4.16789232532513e-05,0.000934678015388791,165.521662123435,"K00382","DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]"
"149",4.23147257396071e-05,0.000938507573876401,165.450139890276,"K06921","K06921; uncharacterized protein"
"150",4.24152262975174e-05,0.000938507573876401,165.438929301338,"K16710","wcaK, amsJ; colanic acid/amylovoran biosynthesis protein WcaK/AmsJ"
"151",4.34609232681187e-05,0.000955276849846928,165.323778995945,"K06133","LYS5, acpT; 4'-phosphopantetheinyl transferase [EC:2.7.8.-]"
"152",4.4615571034023e-05,0.000974204475407384,165.199690981663,"K00657","speG, SAT; diamine N-acetyltransferase [EC:2.3.1.57]"
"153",4.62919148304318e-05,0.00100420173413205,165.024933628039,"K11902","impA; type VI secretion system protein ImpA"
"154",4.71358150600403e-05,0.00101586863756022,164.9392509317,"K03205","virD4, lvhD4; type IV secretion system protein VirD4 [EC:7.4.2.8]"
"155",4.90503409730734e-05,0.00104861326939622,164.750216546071,"K19784","chrR, NQR; chromate reductase, NAD(P)H dehydrogenase (quinone)"
"156",4.92870352593582e-05,0.00104861326939622,164.727341230942,"K01695","trpA; tryptophan synthase alpha chain [EC:4.2.1.20]"
"157",5.13035675295976e-05,0.001084563953062,164.536633166038,"K09834","VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]"
"158",5.17579611495636e-05,0.00108724476617343,164.494657168058,"K07062","fitB; toxin FitB [EC:3.1.-.-]"
"159",5.38973903772924e-05,0.00112506565196373,164.301668088545,"K07238","TC.ZIP, zupT, ZRT3, ZIP2; zinc transporter, ZIP family"
"160",5.55748156905776e-05,0.00114930758000425,164.155441784754,"K06889","K06889; uncharacterized protein"
"161",5.57512866467863e-05,0.00114930758000425,164.140305899962,"K05989","ramA; alpha-L-rhamnosidase [EC:3.2.1.40]"
"162",6.04057189891372e-05,0.00123757148966016,163.756884426946,"K02819","treB, treP; trehalose PTS system EIIBC or EIIBCA component [EC:2.7.1.201]"
"163",6.5054458341981e-05,0.00132463648611678,163.401303133321,"K03791","K03791; putative chitinase"
"164",6.56552029899937e-05,0.00132871718734018,163.357146456229,"K03326","TC.DCUC, dcuC, dcuD; C4-dicarboxylate transporter, DcuC family"
"165",6.90598413197561e-05,0.00138914917175922,163.11400236582,"K02044","phnD; phosphonate transport system substrate-binding protein"
"166",7.34650002217518e-05,0.00146885744419274,162.815957921432,"K01193","INV, sacA; beta-fructofuranosidase [EC:3.2.1.26]"
"167",7.68646262833466e-05,0.00152762691397861,162.597459364808,"K11707","troA, mntA, znuA; manganese/zinc/iron transport system substrate-binding protein"
"168",7.82842825778842e-05,0.0015465805587857,162.508951624293,"K00067","rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]"
"169",8.0241568053107e-05,0.00157586842821457,162.38942016543,"K03457","TC.NCS1; nucleobase:cation symporter-1, NCS1 family"
"170",8.33262134597146e-05,0.00161946763013047,162.206607549153,"K00788","thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]"
"171",8.34374705490543e-05,0.00161946763013047,162.200135929933,"K01686","uxuA; mannonate dehydratase [EC:4.2.1.8]"
"172",8.83048859664229e-05,0.00170397625885208,161.924820384722,"K01629","rhaD; rhamnulose-1-phosphate aldolase [EC:4.1.2.19]"
"173",8.88330928258421e-05,0.00170426031843335,161.895824552383,"K24915","TMEM175; TMEM175 potassium channel family protein"
"174",0.000104059597577358,0.00198470917631357,161.124062868786,"K06016","pydC; beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]"
"175",0.000104647214780016,0.00198470917631357,161.096500773604,"K07443","ybaZ; methylated-DNA-protein-cysteine methyltransferase related protein"
"176",0.000107353803127555,0.00202447313966112,160.971434233825,"K00151","hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]"
"177",0.00010855470539351,0.00203555405198338,160.916907976409,"K03892","arsR; ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor"
"178",0.00011328385253213,0.00211229835142775,160.707660243868,"K01696","trpB; tryptophan synthase beta chain [EC:4.2.1.20]"
"179",0.000116090440940021,0.00215253728201077,160.587402412181,"K01185","E3.2.1.17; lysozyme [EC:3.2.1.17]"
"180",0.000119928260017138,0.00221134386109379,160.427390144729,"K09955","K09955; uncharacterized protein"
"181",0.000122538997670902,0.00224699963132444,160.321318812625,"K00661","maa; maltose O-acetyltransferase [EC:2.3.1.79]"
"182",0.000127800229425932,0.00232068274443324,160.113981534613,"K02509","hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase [EC:4.2.1.-]"
"183",0.000127955692145611,0.00232068274443324,160.107980117112,"K01737","queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]"
"184",0.000131535662242921,0.00237264599447964,159.971677714449,"K19420","epsA, capA; protein tyrosine kinase modulator"
"185",0.000139325042292875,0.00249956656956784,159.686978739069,"K19125","casD, cse5; CRISPR system Cascade subunit CasD"
"186",0.000146970659793872,0.00262255709599926,159.421978516436,"K23239","frmR; FrmR/RcnR family transcriptional regulator, repressor of frmRAB operon"
"187",0.000160438562657724,0.00284756999711757,158.98572760434,"K03573","mutH; DNA mismatch repair protein MutH"
"188",0.000167144821453303,0.00295081735321017,158.781404842394,"K07063","K07063; uncharacterized protein"
"189",0.000173070892649684,0.00303927138996984,158.607272257006,"K02501","hisH; imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]"
"190",0.000181111104099472,0.00316372502371657,158.379913099738,"K00930","argB; acetylglutamate kinase [EC:2.7.2.8]"
"191",0.000182546537215506,0.00317210448700662,158.340339549782,"K01198","xynB; xylan 1,4-beta-xylosidase [EC:3.2.1.37]"
"192",0.000199381919598915,0.00344660724556666,157.897168327176,"K02039","phoU; phosphate transport system protein"
"193",0.000229049435653094,0.00393893822244881,157.196712025204,"K18214","tetP_A, tet40; MFS transporter, DHA3 family, tetracycline resistance protein"
"194",0.000262673209868467,0.0044938782657394,156.500638287677,"K06908","FII; Bacteriophage tail tube protein"
"195",0.000268039480569085,0.00456216941542971,156.397486238418,"K02377","TSTA3, fcl; GDP-L-fucose synthase [EC:1.1.1.271]"
"196",0.000271675216115924,0.00460045939943241,156.328711262076,"K03719","lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"
"197",0.000287594129818723,0.00484530414653981,156.037551189584,"K03188","ureF; urease accessory protein"
"198",0.000302886655496584,0.00507717580602607,155.771955516773,"K19123","casA, cse1; CRISPR system Cascade subunit CasA"
"199",0.000316940017391847,0.00528604983780674,155.538904594429,"K03430","phnW; 2-aminoethylphosphonate-pyruvate transaminase [EC:2.6.1.37]"
"200",0.000324344382518384,0.00538249502789259,155.420042614481,"K05275","E1.1.1.65; pyridoxine 4-dehydrogenase [EC:1.1.1.65]"
"201",0.000325970212709871,0.00538256286559234,155.394289143779,"K06871","K06871; uncharacterized protein"
"202",0.00036067610125353,0.00592615831713101,154.871829538715,"K05349","bglX; beta-glucosidase [EC:3.2.1.21]"
"203",0.000415972861699037,0.00679963766580246,154.130776887111,"K02011","afuB, fbpB; iron(III) transport system permease protein"
"204",0.000417934945412384,0.00679963766580246,154.106238522847,"K21449","ata, sadA, emaA; trimeric autotransporter adhesin"
"205",0.000449063510852505,0.00727044776838763,153.730904551294,"K00971","manC, cpsB; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]"
"206",0.000462195474425188,0.00744673193988932,153.579922497111,"K07733","alpA; prophage regulatory protein"
"207",0.00046451247265903,0.00744790771379381,153.553706364045,"K13075","ahlD, aiiA, attM, blcC; N-acyl homoserine lactone hydrolase [EC:3.1.1.81]"
"208",0.000480356232678641,0.00766491507817505,153.377693588497,"K11249","eamB; cysteine/O-acetylserine efflux protein"
"209",0.00050312224144873,0.00798977377688199,153.13418466192,"K01971","ligD; bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]"
"210",0.000529318479580722,0.00836575254156388,152.866587005538,"K10979","ku; DNA end-binding protein Ku"
"211",0.000543148182929189,0.008543643692616,152.73033539573,"K07032","K07032; uncharacterized protein"
"212",0.000561264539315897,0.00878696700938426,152.556739478421,"K03190","ureD, ureH; urease accessory protein"
"213",0.000577116564004956,0.00899272242221808,152.409139691393,"K11708","troC, mntC, znuB; manganese/zinc/iron transport system permease protein"
"214",0.000605044651559918,0.00938384672209051,152.158195438709,"K06015","E3.5.1.81; N-acyl-D-amino-acid deacylase [EC:3.5.1.81]"
